leg,water,water,water,water,complex,complex,complex,complex,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
edge_7b_42,     17.13,      0.11,      0.22,      0.48,     14.01,      0.18,      0.15,     -0.19,     -3.12,      0.21,      0.27,     -3.12,      0.21,
edge_7b_231,    -91.50,      0.12,      0.29,      0.70,    -94.95,      0.36,      0.52,      0.33,     -3.45,      0.38,      0.60,     -3.45,      0.38,
edge_54_251,    -35.40,      0.15,      0.22,      0.40,    -33.14,      0.18,      0.16,     -0.22,      2.26,      0.23,      0.27,      2.26,      0.23,
edge_54_124,    145.35,      0.11,      0.09,     -0.07,    143.05,      0.32,      0.99,      0.86,     -2.30,      0.34,      0.99,     -2.30,      0.34,
edge_215_252,   -120.27,      0.13,      0.14,     -0.02,   -122.04,      0.21,      0.75,      0.87,     -1.77,      0.25,      0.76,     -1.77,      0.25,
edge_215_15,     76.07,      0.09,      0.10,      0.03,     74.92,      0.12,      0.11,     -0.15,     -1.15,      0.15,      0.15,     -1.15,      0.15,
edge_215_163,    -27.76,      0.10,      0.10,      0.01,    -28.39,      0.15,      0.42,      0.77,     -0.63,      0.18,      0.43,     -0.63,      0.18,
edge_57_231,   -141.02,      0.11,      0.11,     -0.05,   -136.95,      0.14,      0.13,     -0.04,      4.07,      0.18,      0.17,      4.07,      0.18,
edge_42_164,    -86.29,      0.18,      0.17,     -0.01,    -81.98,      0.12,      0.14,      0.21,      4.31,      0.22,      0.22,      4.31,      0.22,
edge_35_7a,     -6.30,      0.11,      0.10,     -0.08,     -6.74,      0.16,      0.15,     -0.04,     -0.44,      0.19,      0.18,     -0.44,      0.19,
edge_35_84,    -47.63,      0.07,      0.07,     -0.02,    -45.87,      0.16,      0.17,      0.10,      1.76,      0.17,      0.18,      1.76,      0.17,
edge_252_336,     -9.50,      0.10,      0.11,      0.12,     -8.48,      0.18,      0.18,     -0.03,      1.02,      0.21,      0.21,      1.02,      0.21,
edge_252_290,    264.15,      0.11,      0.12,      0.06,    260.02,      1.03,      0.61,     -0.06,     -4.13,      1.04,      0.62,     -4.13,      1.04,
edge_252_155,    175.50,      0.11,      0.13,      0.16,    175.90,      0.23,      0.67,      0.80,      0.40,      0.25,      0.68,      0.40,      0.25,
edge_252_231,     83.74,      0.10,      0.10,      0.03,     84.06,      0.13,      0.19,      0.30,      0.32,      0.16,      0.21,      0.32,      0.16,
edge_252_124,    217.48,      0.14,      0.14,     -0.12,    215.01,      0.32,      0.38,      0.16,     -2.47,      0.35,      0.40,     -2.47,      0.35,
edge_336_251,     43.40,      0.13,      0.13,     -0.07,     42.73,      0.22,      0.44,      0.58,     -0.67,      0.26,      0.46,     -0.67,      0.26,
edge_290_7a,    -95.49,      0.11,      0.10,     -0.01,    -92.22,      0.16,      0.17,      0.09,      3.27,      0.19,      0.20,      3.27,      0.19,
edge_290_84,   -105.39,      0.12,      0.12,      0.01,    -95.33,      0.25,      0.32,      0.26,     10.06,      0.28,      0.34,     10.06,      0.28,
edge_290_23,    -97.63,      0.12,      0.10,     -0.22,    -94.62,      0.18,      0.19,      0.12,      3.01,      0.22,      0.21,      3.01,      0.22,
edge_290_256,   -281.37,      0.11,      0.10,     -0.02,   -279.71,      0.25,      1.23,      0.93,      1.66,      0.27,      1.23,      1.66,      0.27,
edge_155_84,    -15.11,      0.11,      0.11,      0.02,    -11.91,      0.28,      0.37,      0.08,      3.20,      0.30,      0.39,      3.20,      0.30,
edge_164_124,    110.04,      0.15,      0.16,      0.10,    105.23,      0.36,      0.34,     -0.02,     -4.81,      0.39,      0.38,     -4.81,      0.39,
edge_164_25,    102.61,      0.13,      0.16,      0.20,    101.65,      0.19,      1.20,      0.95,     -0.96,      0.23,      1.21,     -0.96,      0.23,
edge_164_163,    -17.34,      0.11,      0.13,      0.23,    -19.94,      0.13,      0.14,     -0.05,     -2.60,      0.17,      0.19,     -2.60,      0.17,
edge_7a_224,     77.91,      0.12,      0.13,      0.01,     76.68,      0.19,      1.19,      0.96,     -1.23,      0.22,      1.20,     -1.23,      0.22,
edge_7a_23,     -0.82,      0.11,      0.10,      0.04,      0.16,      0.16,      0.17,     -0.00,      0.98,      0.19,      0.20,      0.98,      0.19,
edge_224_231,   -164.68,      0.15,      0.14,     -0.03,   -162.59,      0.19,      7.43,      1.00,      2.09,      0.24,      7.43,      2.09,      0.24,
edge_84_15,     35.55,      0.10,      0.12,      0.04,     28.11,      0.10,      0.34,      0.80,     -7.44,      0.14,      0.36,     -7.44,      0.14,
edge_254_251,    -16.97,      0.14,      0.12,     -0.00,    -16.74,      0.20,      0.19,     -0.02,      0.23,      0.24,      0.22,      0.23,      0.24,
edge_254_50,      9.51,      0.16,      0.15,     -0.05,     12.30,      0.22,      0.21,     -0.11,      2.79,      0.27,      0.26,      2.79,      0.27,
edge_23_15,     28.31,      0.11,      0.10,     -0.09,     25.74,      0.14,      0.13,      0.00,     -2.57,      0.18,      0.16,     -2.57,      0.18,
edge_251_15,    161.27,      0.12,      0.16,      0.27,    159.56,      0.18,      0.19,      0.07,     -1.71,      0.22,      0.25,     -1.71,      0.22,
edge_251_25,    177.65,      0.13,      0.13,      0.11,    177.23,      0.21,      0.29,      0.25,     -0.42,      0.25,      0.32,     -0.42,      0.25,
edge_15_25,     16.86,      0.09,      0.09,      0.01,     17.07,      0.10,      0.10,      0.10,      0.21,      0.13,      0.13,      0.21,      0.13,
