leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
edge_p38a_3fln_p38a_2o,   -107.58,      0.14,      0.17,      0.10,   -108.32,      0.14,      0.15,      0.04,   -108.11,      0.18,      0.16,     -0.03,   -108.91,      0.25,      0.20,     -0.20,   -108.83,      0.20,      0.31,      0.35,   -107.78,      0.23,      0.33,      0.31,     -1.33,      0.29,      0.26,     -0.51,      0.24,      0.34,      0.33,      0.29,      0.37,     -0.50,      0.49,      0.50
edge_p38a_2gg_p38a_2j,    -26.46,      0.10,      0.10,      0.07,    -26.15,      0.11,      0.11,     -0.03,    -26.51,      0.09,      0.12,      0.14,    -26.08,      0.15,      0.19,      0.12,    -26.36,      0.21,      0.30,      0.37,    -24.47,      0.27,      0.33,      0.11,      0.38,      0.18,      0.21,     -0.21,      0.24,      0.32,      2.04,      0.28,      0.35,      0.74,      0.68,      0.68
edge_p38a_3fln_p38a_2r,     -3.86,      0.10,      0.13,      0.19,     -3.57,      0.12,      0.15,      0.12,     -3.91,      0.12,      0.14,      0.12,     -4.97,      0.21,      0.21,      0.10,     -5.50,      0.16,      0.27,      0.48,     -5.24,      0.22,      0.24,      0.07,     -1.11,      0.23,      0.25,     -1.93,      0.20,      0.31,     -1.33,      0.25,      0.28,     -1.46,      0.27,      0.27
edge_p38a_3fln_p38a_2i,    -42.01,      0.06,      0.07,      0.12,    -41.99,      0.08,      0.08,     -0.05,    -41.97,      0.07,      0.08,      0.06,    -41.73,      0.08,      0.08,     -0.03,    -40.66,      0.10,      0.11,      0.13,    -41.16,      0.08,      0.09,      0.03,      0.28,      0.10,      0.11,      1.33,      0.13,      0.14,      0.81,      0.11,      0.12,      0.81,      0.31,      0.31
edge_p38a_2z_p38a_3flw,    -21.01,      0.17,      0.16,     -0.09,    -21.84,      0.23,      0.25,      0.05,    -21.53,      0.36,      0.31,     -0.10,    -22.46,      0.47,      0.46,      0.06,    -21.57,      0.34,      1.47,      0.94,    -22.01,      0.30,      4.17,      0.99,     -1.45,      0.50,      0.49,      0.27,      0.41,      1.49,     -0.48,      0.47,      4.18,     -0.55,      0.54,      1.38
edge_p38a_2g_p38a_2i,    -52.46,      0.07,      0.07,     -0.04,    -52.58,      0.08,      0.07,     -0.01,    -52.41,      0.07,      0.07,      0.10,    -51.45,      0.08,      0.08,     -0.11,    -51.73,      0.09,      0.08,     -0.15,    -52.17,      0.10,      0.11,      0.04,      1.01,      0.11,      0.11,      0.85,      0.12,      0.11,      0.24,      0.12,      0.13,      0.70,      0.24,      0.24
edge_p38a_3flz_p38a_2c,    -40.12,      0.08,      0.10,      0.09,    -40.25,      0.12,      0.09,     -0.05,    -40.11,      0.09,      0.10,     -0.03,    -45.39,      0.28,      0.92,      0.88,    -44.67,      0.47,      0.61,      0.27,    -41.68,      0.21,      0.89,      0.90,     -5.27,      0.29,      0.93,     -4.42,      0.49,      0.62,     -1.57,      0.23,      0.90,     -3.75,      1.13,      1.14
edge_p38a_2ee_p38a_2j,    -30.21,      0.09,      0.09,     -0.01,    -30.30,      0.10,      0.11,      0.09,    -30.20,      0.10,      0.11,     -0.01,    -29.06,      0.19,      0.16,     -0.09,    -29.46,      0.16,      0.19,      0.11,    -29.32,      0.18,      0.17,     -0.01,      1.15,      0.21,      0.18,      0.84,      0.19,      0.22,      0.88,      0.21,      0.20,      0.96,      0.14,      0.14
edge_p38a_2m_p38a_2j,    -79.85,      0.10,      0.10,     -0.03,    -79.47,      0.09,      0.09,      0.02,    -79.54,      0.10,      0.10,     -0.00,    -75.65,      0.14,      0.13,     -0.06,    -77.16,      0.16,      0.13,     -0.19,    -76.03,      0.15,      0.16,      0.07,      4.20,      0.17,      0.16,      2.31,      0.18,      0.16,      3.51,      0.18,      0.19,      3.34,      0.56,      0.55
edge_p38a_2t_p38a_2j,    -27.51,      0.07,      0.07,     -0.05,    -27.63,      0.08,      0.09,      0.07,    -27.53,      0.08,      0.08,      0.01,    -25.64,      0.16,      0.11,     -0.42,    -26.13,      0.14,      0.11,     -0.31,    -25.45,      0.16,      0.11,     -0.41,      1.87,      0.17,      0.13,      1.50,      0.16,      0.14,      2.08,      0.18,      0.14,      1.82,      0.19,      0.18
edge_p38a_2j_p38a_2r,     47.56,      0.12,      0.13,     -0.12,     47.38,      0.13,      0.12,     -0.03,     47.53,      0.15,      0.13,     -0.14,     44.99,      0.23,      0.24,      0.06,     45.92,      0.30,      0.45,      0.37,     43.89,      0.24,      0.32,      0.31,     -2.57,      0.26,      0.27,     -1.46,      0.33,      0.47,     -3.64,      0.28,      0.35,     -2.56,      0.64,      0.65
edge_p38a_2e_p38a_2j,    -49.80,      0.08,      0.08,      0.01,    -49.82,      0.08,      0.07,      0.04,    -49.66,      0.08,      0.07,     -0.03,    -50.19,      0.13,      0.12,     -0.07,    -50.01,      0.10,      0.15,      0.25,    -49.82,      0.08,      0.14,      0.37,     -0.39,      0.15,      0.14,     -0.19,      0.13,      0.17,     -0.16,      0.11,      0.16,     -0.25,      0.09,      0.10
edge_p38a_2v_p38a_3fmh,    -15.74,      0.14,      0.16,      0.03,    -15.58,      0.14,      0.16,      0.07,    -16.00,      0.14,      0.17,     -0.05,    -19.71,      0.27,      0.31,      0.11,    -19.89,      0.30,      0.34,      0.15,    -19.49,      0.24,      0.25,     -0.04,     -3.97,      0.30,      0.35,     -4.31,      0.33,      0.38,     -3.49,      0.28,      0.30,     -3.92,      0.27,      0.28
edge_p38a_2v_p38a_3fmk,    -13.81,      0.18,      0.20,      0.05,    -13.97,      0.16,      0.16,      0.06,    -13.33,      0.17,      0.14,     -0.24,    -18.50,      0.22,      0.48,      0.66,    -18.04,      0.58,      0.42,     -0.18,    -18.35,      0.23,      0.83,      0.88,     -4.69,      0.28,      0.52,     -4.07,      0.60,      0.45,     -5.02,      0.29,      0.84,     -4.59,      0.33,      0.40
edge_p38a_2aa_p38a_2bb,   -136.26,      0.24,      0.24,     -0.04,   -135.74,      0.27,      0.32,      0.27,   -135.81,      0.30,      0.33,      0.18,   -134.43,      0.45,      0.55,     -0.02,   -134.70,      0.44,      0.45,      0.21,   -134.43,      0.48,      0.46,     -0.11,      1.83,      0.51,      0.60,      1.04,      0.52,      0.55,      1.38,      0.57,      0.57,      1.42,      0.35,      0.35
edge_p38a_3fln_p38a_2s,     14.31,      0.13,      0.18,      0.20,     14.80,      0.14,      0.14,     -0.03,     14.93,      0.13,      0.16,      0.20,     11.79,      0.38,      0.36,     -0.07,     13.28,      0.28,      0.35,      0.09,     12.02,      0.29,      0.47,      0.47,     -2.52,      0.40,      0.40,     -1.52,      0.31,      0.38,     -2.91,      0.32,      0.50,     -2.32,      0.44,      0.46
edge_p38a_2v_p38a_2j,    -73.08,      0.25,      0.22,      0.04,    -72.93,      0.23,      0.22,      0.02,    -72.83,      0.20,      0.19,      0.03,    -75.70,      0.37,      0.27,     -0.32,    -75.15,      0.33,      0.30,     -0.08,    -74.22,      0.26,      0.38,      0.43,     -2.62,      0.45,      0.35,     -2.22,      0.40,      0.37,     -1.39,      0.33,      0.42,     -2.08,      0.40,      0.39
edge_p38a_2v_p38a_2bb,   -111.52,      0.11,      0.13,      0.12,   -111.42,      0.12,      0.15,      0.17,   -111.34,      0.13,      0.13,      0.01,   -112.07,      0.37,      0.26,     -0.32,   -112.52,      0.22,      0.24,      0.09,   -113.35,      0.17,      0.19,      0.00,     -0.55,      0.39,      0.29,     -1.10,      0.25,      0.28,     -2.01,      0.21,      0.23,     -1.22,      0.44,      0.44
edge_p38a_2l_p38a_2j,    -51.82,      0.08,      0.08,      0.04,    -51.84,      0.09,      0.08,     -0.09,    -51.89,      0.08,      0.08,     -0.02,    -49.55,      0.12,      0.11,     -0.21,    -49.11,      0.12,      0.18,      0.42,    -48.85,      0.10,      0.12,      0.06,      2.27,      0.14,      0.14,      2.73,      0.15,      0.20,      3.04,      0.13,      0.14,      2.68,      0.23,      0.23
edge_p38a_2z_p38a_2y,      8.98,      0.24,      0.23,     -0.12,      8.92,      0.20,      0.21,      0.08,      8.91,      0.22,      0.23,     -0.07,      8.96,      0.15,      0.17,      0.07,      8.92,      0.19,      0.17,     -0.03,     10.27,      0.18,      0.17,      0.01,     -0.02,      0.28,      0.29,      0.00,      0.28,      0.27,      1.36,      0.28,      0.29,      0.45,      0.47,      0.47
edge_p38a_3fln_p38a_3flz,      2.00,      0.08,      0.09,      0.04,      2.09,      0.10,      0.09,     -0.09,      2.06,      0.08,      0.08,      0.05,      2.11,      0.10,      0.14,      0.29,      3.62,      0.09,      0.08,     -0.13,      2.40,      0.07,      0.12,      0.42,      0.11,      0.13,      0.17,      1.53,      0.13,      0.12,      0.34,      0.11,      0.14,      0.66,      0.44,      0.45
edge_p38a_2z_p38a_3flq,   -133.60,      0.25,      0.30,      0.25,   -135.90,      0.26,      1.31,      0.93,   -134.36,      0.40,      0.57,      0.50,   -132.92,      0.38,      3.10,      0.98,   -135.97,      0.50,     27.77,      1.00,   -134.07,      0.43,      7.13,      1.00,      0.68,      0.45,      3.11,     -0.07,      0.56,     27.80,      0.29,      0.59,      7.15,      0.30,      0.33,      7.74
edge_p38a_2l_p38a_2n,     -6.80,      0.10,      0.11,      0.00,     -6.77,      0.10,      0.10,      0.05,     -6.84,      0.11,      0.09,     -0.14,     -8.07,      0.17,      0.17,     -0.02,     -7.73,      0.11,      0.15,      0.30,     -7.98,      0.14,      0.15,     -0.03,     -1.27,      0.20,      0.20,     -0.96,      0.15,      0.18,     -1.14,      0.18,      0.17,     -1.12,      0.12,      0.13
edge_p38a_3fln_p38a_2e,     -1.14,      0.09,      0.08,     -0.03,     -1.09,      0.09,      0.08,     -0.07,     -1.29,      0.08,      0.07,      0.05,      0.21,      0.08,      0.08,     -0.02,      0.38,      0.07,      0.08,     -0.03,      0.43,      0.06,      0.08,      0.08,      1.35,      0.12,      0.11,      1.47,      0.11,      0.11,      1.72,      0.10,      0.11,      1.51,      0.12,      0.12
edge_p38a_2m_p38a_2k,    -57.36,      0.10,      0.11,      0.10,    -57.52,      0.12,      0.11,     -0.01,    -57.62,      0.12,      0.12,     -0.07,    -53.98,      0.19,      0.25,      0.30,    -53.68,      0.20,      0.21,      0.09,    -55.22,      0.29,      0.34,      0.28,      3.38,      0.21,      0.27,      3.84,      0.23,      0.24,      2.40,      0.31,      0.36,      3.21,      0.44,      0.44
edge_p38a_3flz_p38a_2g,      8.53,      0.07,      0.08,      0.05,      8.36,      0.06,      0.08,      0.06,      8.58,      0.08,      0.08,      0.02,      7.71,      0.08,      0.09,      0.21,      7.31,      0.09,      0.08,     -0.12,      7.83,      0.11,      0.11,      0.15,     -0.82,      0.11,      0.12,     -1.05,      0.11,      0.11,     -0.75,      0.14,      0.14,     -0.87,      0.10,      0.10
edge_p38a_2aa_p38a_3flw,    -50.27,      0.12,      0.13,      0.05,    -50.27,      0.12,      0.13,     -0.04,    -50.30,      0.12,      0.14,      0.19,    -51.63,      0.30,      0.34,      0.07,    -52.74,      0.22,      0.24,      0.12,    -52.30,      0.36,      0.28,     -0.21,     -1.36,      0.32,      0.36,     -2.47,      0.25,      0.27,     -2.00,      0.38,      0.31,     -1.94,      0.35,      0.35
edge_p38a_2s_p38a_2l,    -14.19,      0.15,      0.13,     -0.09,    -14.17,      0.12,      0.13,      0.07,    -14.64,      0.12,      0.13,      0.13,    -13.88,      0.17,      0.31,      0.44,    -14.59,      0.19,      0.20,     -0.04,    -13.98,      0.23,      0.32,      0.28,      0.31,      0.23,      0.34,     -0.42,      0.22,      0.24,      0.66,      0.26,      0.35,      0.18,      0.33,      0.35
edge_p38a_2g_p38a_2f,    -19.94,      0.08,      0.08,      0.05,    -19.71,      0.08,      0.08,      0.05,    -19.86,      0.07,      0.07,      0.04,    -18.21,      0.08,      0.07,     -0.20,    -18.84,      0.12,      0.13,      0.08,    -18.95,      0.11,      0.12,      0.06,      1.73,      0.11,      0.11,      0.87,      0.14,      0.15,      0.91,      0.13,      0.14,      1.17,      0.29,      0.29
edge_p38a_3fln_p38a_2k,    -45.71,      0.08,      0.09,      0.02,    -45.51,      0.07,      0.08,      0.04,    -45.53,      0.08,      0.09,      0.01,    -44.80,      0.10,      0.09,     -0.12,    -44.47,      0.11,      0.11,      0.05,    -44.26,      0.12,      0.12,      0.07,      0.91,      0.13,      0.13,      1.04,      0.13,      0.14,      1.27,      0.14,      0.15,      1.07,      0.12,      0.12
edge_p38a_3fln_p38a_2ff,      7.00,      0.07,      0.08,      0.02,      6.96,      0.06,      0.07,      0.04,      6.97,      0.09,      0.08,      0.01,      6.39,      0.10,      0.10,     -0.02,      6.32,      0.09,      0.10,      0.05,      6.28,      0.09,      0.09,      0.03,     -0.61,      0.12,      0.13,     -0.64,      0.11,      0.12,     -0.69,      0.13,      0.12,     -0.65,      0.07,      0.07
