leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
edge_25_14,     -3.50,      0.04,      0.04,     -0.02,     -3.54,      0.05,      0.04,     -0.03,     -3.53,      0.04,      0.04,     -0.03,     -2.49,      0.05,      0.05,      0.06,     -2.58,      0.06,      0.06,     -0.07,     -2.40,      0.04,      0.05,     -0.07,      1.01,      0.06,      0.06,      0.96,      0.08,      0.07,      1.13,      0.06,      0.06,      1.03,      0.06,      0.06
edge_12_25,     -0.84,      0.04,      0.04,      0.00,     -0.87,      0.04,      0.04,     -0.05,     -0.84,      0.04,      0.04,     -0.01,     -0.16,      0.10,      0.12,      0.12,     -0.27,      0.09,      0.08,     -0.28,      0.39,      0.12,      0.09,     -0.34,      0.68,      0.11,      0.13,      0.60,      0.10,      0.09,      1.23,      0.13,      0.10,      0.84,      0.20,      0.20
edge_31_36,     11.15,      0.07,      0.07,     -0.06,     10.98,      0.07,      0.07,     -0.04,     11.11,      0.07,      0.07,      0.05,      9.49,      0.36,      0.37,      0.05,     10.53,      0.15,      0.19,      0.18,      8.73,      0.14,      0.25,      0.45,     -1.66,      0.37,      0.38,     -0.45,      0.17,      0.20,     -2.38,      0.16,      0.26,     -1.50,      0.57,      0.58
edge_31_13,     20.76,      0.05,      0.06,     -0.02,     20.76,      0.07,      0.06,     -0.04,     20.79,      0.06,      0.06,      0.01,     19.40,      0.11,      0.13,      0.13,     19.58,      0.09,      0.13,      0.19,     19.24,      0.11,      0.13,      0.22,     -1.36,      0.12,      0.14,     -1.18,      0.11,      0.14,     -1.55,      0.13,      0.14,     -1.36,      0.12,      0.12
edge_38_31,    -21.68,      0.04,      0.04,      0.04,    -21.63,      0.04,      0.04,      0.01,    -21.63,      0.04,      0.04,      0.03,    -20.93,      0.06,      0.07,      0.16,    -20.74,      0.07,      0.06,     -0.16,    -20.36,      0.05,      0.05,     -0.02,      0.75,      0.07,      0.08,      0.89,      0.08,      0.07,      1.27,      0.06,      0.06,      0.97,      0.16,      0.16
edge_24_1a,    -28.74,      0.09,      0.12,      0.20,    -28.82,      0.10,      0.11,      0.08,    -28.46,      0.13,      0.12,     -0.02,    -25.84,      0.25,      0.29,      0.20,    -26.53,      0.16,      0.46,      0.84,    -25.44,      0.26,      0.29,      0.12,      2.90,      0.27,      0.31,      2.29,      0.19,      0.47,      3.02,      0.29,      0.31,      2.74,      0.25,      0.28
edge_1a_32,    -10.51,      0.08,      0.08,      0.03,    -10.59,      0.06,      0.08,      0.15,    -10.60,      0.07,      0.07,      0.02,    -12.12,      0.13,      0.11,     -0.12,    -11.91,      0.15,      0.12,     -0.15,    -12.02,      0.16,      0.13,     -0.20,     -1.61,      0.15,      0.14,     -1.32,      0.16,      0.14,     -1.42,      0.17,      0.15,     -1.45,      0.12,      0.11
edge_29_1a,    -10.24,      0.09,      0.09,     -0.08,    -10.05,      0.08,      0.09,      0.01,    -10.01,      0.09,      0.09,      0.03,     -8.03,      0.19,      0.21,      0.11,     -7.23,      0.27,      0.23,     -0.07,     -7.48,      0.19,      0.24,      0.17,      2.21,      0.21,      0.23,      2.82,      0.28,      0.25,      2.53,      0.21,      0.26,      2.52,      0.20,      0.21
edge_1a_18,     -7.67,      0.13,      0.11,     -0.04,     -7.60,      0.10,      0.11,     -0.01,     -7.45,      0.09,      0.10,      0.06,    -10.36,      0.20,      0.36,      0.52,    -11.28,      0.26,      0.24,     -0.04,    -10.74,      0.27,      0.27,      0.10,     -2.69,      0.24,      0.38,     -3.68,      0.28,      0.26,     -3.29,      0.28,      0.29,     -3.22,      0.31,      0.32
edge_41_1a,      6.16,      0.14,      0.12,     -0.09,      6.11,      0.12,      0.11,     -0.09,      5.16,      0.12,      0.20,      0.44,      7.16,      0.31,      1.62,      0.95,      7.09,      0.76,      0.86,      0.66,      4.49,      0.23,     10.71,      1.00,      1.00,      0.34,      1.62,      0.98,      0.77,      0.87,     -0.67,      0.26,     10.71,      0.44,      0.60,      3.04
edge_38_27,     -8.18,      0.04,      0.04,      0.00,     -8.07,      0.04,      0.04,     -0.05,     -8.08,      0.04,      0.04,     -0.00,     -8.08,      0.07,      0.07,     -0.00,     -8.25,      0.07,      0.06,     -0.08,     -8.28,      0.06,      0.06,     -0.03,      0.10,      0.08,      0.08,     -0.18,      0.08,      0.07,     -0.20,      0.07,      0.07,     -0.09,      0.10,      0.10
edge_27_14,     -2.51,      0.05,      0.05,      0.06,     -2.56,      0.04,      0.04,     -0.02,     -2.67,      0.05,      0.05,     -0.02,     -1.05,      0.10,      0.08,     -0.19,     -1.57,      0.08,      0.11,      0.21,     -1.92,      0.08,      0.07,     -0.12,      1.46,      0.11,      0.09,      0.99,      0.09,      0.12,      0.75,      0.09,      0.09,      1.07,      0.21,      0.21
edge_24_14,    -22.44,      0.06,      0.05,      0.01,    -22.61,      0.05,      0.05,      0.01,    -22.52,      0.05,      0.05,     -0.04,    -21.26,      0.09,      0.08,     -0.05,    -21.25,      0.08,      0.08,     -0.13,    -21.28,      0.09,      0.09,     -0.09,      1.18,      0.11,      0.09,      1.36,      0.09,      0.09,      1.24,      0.10,      0.10,      1.26,      0.07,      0.07
edge_12_14,     -5.17,      0.05,      0.04,     -0.03,     -5.11,      0.05,      0.05,      0.02,     -5.15,      0.04,      0.04,     -0.01,     -4.10,      0.09,      0.10,      0.08,     -2.86,      0.09,      0.09,      0.09,     -3.78,      0.10,      0.09,      0.02,      1.07,      0.10,      0.11,      2.25,      0.10,      0.10,      1.37,      0.11,      0.10,      1.56,      0.36,      0.36
edge_18_14,     12.90,      0.04,      0.05,      0.02,     12.89,      0.05,      0.04,     -0.00,     12.95,      0.04,      0.04,     -0.03,     13.57,      0.05,      0.06,      0.12,     13.57,      0.05,      0.06,      0.10,     13.49,      0.06,      0.06,     -0.03,      0.67,      0.06,      0.08,      0.68,      0.07,      0.07,      0.54,      0.07,      0.07,      0.63,      0.05,      0.06
edge_39_14,     79.59,      0.06,      0.06,      0.01,     79.77,      0.06,      0.06,     -0.03,     79.56,      0.06,      0.06,     -0.05,     79.28,      0.15,      0.14,      0.03,     79.06,      0.15,      0.17,      0.16,     79.38,      0.12,      0.14,      0.16,     -0.31,      0.16,      0.15,     -0.71,      0.16,      0.18,     -0.18,      0.13,      0.15,     -0.40,      0.17,      0.17
edge_17_34,     -1.31,      0.05,      0.05,     -0.03,     -1.28,      0.05,      0.05,      0.02,     -1.23,      0.05,      0.05,      0.03,     -0.77,      0.07,      0.08,      0.17,     -0.75,      0.08,      0.09,      0.10,     -0.72,      0.08,      0.09,      0.14,      0.54,      0.09,      0.09,      0.53,      0.09,      0.10,      0.51,      0.09,      0.10,      0.53,      0.05,      0.05
edge_17_38,      7.74,      0.05,      0.06,      0.02,      7.75,      0.05,      0.05,      0.02,      7.82,      0.05,      0.05,      0.01,      9.08,      0.07,      0.10,      0.20,      8.66,      0.10,      0.10,     -0.03,      9.67,      0.09,      0.10,      0.15,      1.34,      0.09,      0.12,      0.91,      0.11,      0.11,      1.85,      0.10,      0.11,      1.37,      0.27,      0.27
edge_39_36,     79.93,      0.08,      0.08,     -0.07,     79.95,      0.09,      0.08,     -0.07,     79.81,      0.07,      0.08,      0.07,     78.78,      0.56,      0.42,     -0.39,     76.81,      0.26,      0.39,      0.27,     77.40,      0.20,      0.53,      0.75,     -1.15,      0.57,      0.43,     -3.14,      0.28,      0.40,     -2.41,      0.21,      0.54,     -2.23,      0.60,      0.62
edge_23_36,     19.59,      0.08,      0.07,     -0.09,     19.61,      0.06,      0.06,     -0.04,     19.52,      0.07,      0.07,     -0.12,     17.57,      0.10,      0.09,     -0.12,     17.51,      0.09,      0.08,     -0.14,     17.73,      0.10,      0.09,     -0.10,     -2.02,      0.13,      0.11,     -2.10,      0.11,      0.10,     -1.79,      0.12,      0.11,     -1.97,      0.11,      0.11
edge_11_24,     16.55,      0.07,      0.06,     -0.05,     16.50,      0.06,      0.07,     -0.02,     16.45,      0.06,      0.06,      0.03,     15.28,      0.12,      0.13,      0.04,     15.45,      0.14,      0.11,     -0.18,     14.58,      0.09,      0.15,      0.31,     -1.27,      0.14,      0.14,     -1.05,      0.15,      0.13,     -1.87,      0.11,      0.16,     -1.40,      0.25,      0.25
edge_11_35,    -31.14,      0.07,      0.07,      0.07,    -31.16,      0.06,      0.07,     -0.00,    -31.13,      0.07,      0.06,     -0.02,    -33.02,      0.12,      0.15,      0.09,    -33.23,      0.11,      0.11,     -0.05,    -32.89,      0.10,      0.13,      0.17,     -1.88,      0.14,      0.17,     -2.07,      0.13,      0.13,     -1.76,      0.12,      0.14,     -1.90,      0.11,      0.11
edge_11_19,      1.06,      0.06,      0.06,     -0.05,      1.01,      0.05,      0.05,      0.00,      1.04,      0.06,      0.06,      0.03,      0.10,      0.15,      0.17,      0.11,      0.34,      0.12,      0.15,      0.07,      0.09,      0.14,      0.16,      0.18,     -0.96,      0.16,      0.18,     -0.67,      0.13,      0.16,     -0.95,      0.15,      0.17,     -0.86,      0.12,      0.13
edge_11_21,      3.48,      0.04,      0.05,      0.06,      3.50,      0.05,      0.05,      0.00,      3.43,      0.05,      0.05,      0.00,      1.16,      0.10,      0.11,     -0.05,      1.92,      0.09,      0.08,      0.03,      1.85,      0.11,      0.11,      0.07,     -2.32,      0.11,      0.12,     -1.58,      0.10,      0.09,     -1.58,      0.12,      0.12,     -1.83,      0.25,      0.25
edge_38_34,     -9.03,      0.03,      0.04,      0.06,     -9.06,      0.04,      0.04,     -0.01,     -9.04,      0.03,      0.03,     -0.01,     -9.96,      0.05,      0.06,      0.10,     -9.66,      0.07,      0.06,     -0.09,     -9.80,      0.05,      0.05,     -0.01,     -0.93,      0.06,      0.07,     -0.60,      0.08,      0.07,     -0.76,      0.06,      0.06,     -0.76,      0.10,      0.10
edge_20_34,      4.55,      0.04,      0.04,     -0.01,      4.54,      0.05,      0.05,     -0.02,      4.44,      0.04,      0.04,      0.04,      4.82,      0.06,      0.06,     -0.02,      5.05,      0.06,      0.06,     -0.07,      4.99,      0.05,      0.06,      0.03,      0.27,      0.07,      0.07,      0.51,      0.08,      0.08,      0.55,      0.06,      0.07,      0.44,      0.09,      0.09
edge_24_35,    -47.81,      0.03,      0.04,      0.02,    -47.85,      0.04,      0.04,      0.01,    -47.79,      0.03,      0.04,     -0.02,    -48.01,      0.06,      0.07,      0.15,    -48.04,      0.05,      0.05,     -0.00,    -47.78,      0.05,      0.05,      0.01,     -0.20,      0.07,      0.08,     -0.19,      0.06,      0.06,      0.01,      0.06,      0.06,     -0.13,      0.07,      0.08
edge_20_32,    -15.46,      0.05,      0.05,      0.07,    -15.51,      0.06,      0.05,     -0.04,    -15.51,      0.05,      0.05,      0.01,    -13.36,      0.09,      0.09,     -0.10,    -13.64,      0.08,      0.10,      0.12,    -13.04,      0.09,      0.08,     -0.14,      2.10,      0.10,      0.10,      1.87,      0.10,      0.11,      2.47,      0.10,      0.09,      2.15,      0.18,      0.18
edge_21_38,      3.38,      0.05,      0.05,      0.04,      3.35,      0.05,      0.05,      0.02,      3.38,      0.06,      0.05,     -0.01,      3.88,      0.08,      0.09,     -0.01,      4.46,      0.08,      0.10,      0.17,      3.43,      0.09,      0.08,     -0.15,      0.50,      0.09,      0.10,      1.11,      0.09,      0.11,      0.05,      0.11,      0.09,      0.55,      0.31,      0.31
edge_19_15,      1.14,      0.06,      0.06,     -0.03,      2.50,      0.10,      0.15,      0.30,      2.23,      0.13,      0.17,      0.21,      1.69,      0.10,      0.16,      0.35,      2.76,      0.23,      0.20,     -0.09,      1.21,      0.13,      0.12,     -0.13,      0.55,      0.12,      0.17,      0.26,      0.25,      0.25,     -1.02,      0.18,      0.21,     -0.07,      0.49,      0.49
edge_18_19,     20.94,      0.04,      0.04,      0.04,     20.98,      0.04,      0.05,     -0.03,     20.90,      0.04,      0.04,     -0.02,     21.57,      0.06,      0.08,      0.21,     21.20,      0.06,      0.06,     -0.03,     21.73,      0.06,      0.09,      0.35,      0.63,      0.07,      0.09,      0.22,      0.07,      0.08,      0.83,      0.07,      0.10,      0.56,      0.18,      0.18
edge_16_15,      8.03,      0.07,      0.07,     -0.11,      8.08,      0.07,      0.07,     -0.10,      9.86,      0.08,      0.18,      0.56,      7.14,      0.25,      0.35,      0.27,      6.17,      0.16,      0.19,      0.17,      7.98,      0.38,      0.38,      0.18,     -0.89,      0.26,      0.36,     -1.91,      0.17,      0.20,     -1.88,      0.39,      0.42,     -1.56,      0.36,      0.37
edge_41_29,      8.80,      0.84,      1.01,      0.78,      9.45,      0.80,      0.62,     -0.04,      9.19,      0.32,      3.44,      0.99,     10.00,      0.57,    606.64,      1.00,      9.31,      0.29,   1126.22,      1.00,      8.55,      0.39,  12991.20,      1.00,      1.20,      1.02,    606.64,     -0.14,      0.85,   1126.22,     -0.64,      0.50,  12991.20,      0.14,      0.65,   3506.10
edge_18_39,    -67.32,      0.06,      0.07,     -0.03,    -67.28,      0.07,      0.06,     -0.04,    -67.16,      0.06,      0.06,     -0.02,    -65.66,      0.16,      0.18,      0.07,    -66.12,      0.13,      0.14,      0.07,    -66.97,      0.16,      0.17,      0.07,      1.66,      0.17,      0.19,      1.16,      0.15,      0.15,      0.19,      0.17,      0.18,      1.00,      0.44,      0.44
