system,Ligand1,Ligand2,exp_ddG,bennett_ddG,bennett_error,ccc_ddG,ccc_error,,Error_bar,abs_error_Bar,,Error_ccc,Abs_error_ccc,,,
,CAT-17g,CAT-13i,0.47,-0.67,0.12,-1.33,1.2,,1.14,1.14,1.2996,1.8,1.8,3.24,,
,CAT-4m,CAT-13m,0.39,-1.96,0.12,-1.61,0.71,,2.35,2.35,5.5225,2,2,4,,
,CAT-17g,CAT-13c,0.42,0.05,0.11,-0.23,0.77,,0.37,0.37,0.1369,0.65,0.65,0.4225,,
,CAT-17i,CAT-17a,-1.26,-1.96,0.08,-1.95,0.75,,0.7,0.7,0.49,0.69,0.69,0.4761,,
,CAT-13d,CAT-13f,1.38,0.13,0.13,0.26,0.77,,1.25,1.25,1.5625,1.12,1.12,1.2544,,
,CAT-17f,CAT-17e,-0.6,-0.03,0.07,-0.03,0.5,,-0.57,0.57,0.3249,-0.57,0.57,0.3249,,
,CAT-13d,CAT-17a,-0.26,-0.78,0.07,-0.79,0.75,,0.52,0.52,0.2704,0.53,0.53,0.2809,,
,CAT-17g,CAT-17d,0.32,1.03,0.06,1.17,0.8,,-0.71,0.71,0.5041,-0.85,0.85,0.7225,,
,CAT-13n,CAT-13a,-0.3,-1.73,0.12,-2.06,0.71,,1.43,1.43,2.0449,1.76,1.76,3.0976,,
,CAT-13o,CAT-17h,-1.79,-1.98,0.1,-2.05,0.29,,0.19,0.19,0.0361,0.26,0.26,0.0676,,
,CAT-17b,CAT-17e,0,0.38,0.08,0.43,0.54,,-0.38,0.38,0.1444,-0.43,0.43,0.1849,,
,CAT-4k,CAT-4o,-1.53,-1.21,0.08,-1.26,0.45,,-0.32,0.32,0.1024,-0.27,0.27,0.0729,,
,CAT-4m,CAT-4l,-0.19,1.05,0.11,1.21,0.59,,-1.24,1.24,1.5376,-1.4,1.4,1.96,,
,CAT-4m,CAT-4k,1.3,1.14,0.08,1.09,0.45,,0.16,0.16,0.0256,0.21,0.21,0.0441,,
,CAT-13n,CAT-4i,0.28,-0.23,0.12,-0.25,0.46,,0.51,0.51,0.2601,0.53,0.53,0.2809,,
,CAT-13g,CAT-17i,-0.38,0.84,0.13,0.72,0.64,,-1.22,1.22,1.4884,-1.1,1.1,1.21,,
,CAT-4p,CAT-13k,0.38,0.59,0.08,0.4,0.71,,-0.21,0.21,0.0441,-0.02,0.02,0.0004,,
,CAT-4m,CAT-4p,-0.93,-1.1,0.06,-1.29,0.71,,0.17,0.17,0.0289,0.36,0.36,0.1296,,
,CAT-13d,CAT-13i,1.2,-0.59,0.13,0.07,1.2,,1.79,1.79,3.2041,1.13,1.13,1.2769,0.841551724,1.026499744
CDK2,22,1h1r,0.193,0.3,0.09,0.14,0.4,,-0.107,0.107,0.011449,0.053,0.053,0.002809,,
,1h1s,1oiy,1.461,0.8,0.21,1.02,0.69,,0.661,0.661,0.436921,0.441,0.441,0.194481,,
,1oiu,26,0.652,1.92,0.17,2.02,0.43,,-1.268,1.268,1.607824,-1.368,1.368,1.871424,,
,26,1h1q,0.252,0.66,0.09,0.64,0.48,,-0.408,0.408,0.166464,-0.388,0.388,0.150544,,
,17,1h1q,-1.138,0.78,0.08,0.91,0.4,,-1.918,1.918,3.678724,-2.048,2.048,4.194304,,
,1oiy,1oi9,0.044,0.43,0.11,0.1,0.8,,-0.386,0.386,0.148996,-0.056,0.056,0.003136,,
,29,26,1.451,0.01,0.13,0.32,0.67,,1.441,1.441,2.076481,1.131,1.131,1.279161,,
,1h1s,26,2.815,1.2,0.16,0.98,0.69,,1.615,1.615,2.608225,1.835,1.835,3.367225,,
,28,26,2.681,1.48,0.12,1.5,0.68,,1.201,1.201,1.442401,1.181,1.181,1.394761,,
,17,21,-0.787,0.57,0.09,0.6,0.25,,-1.357,1.357,1.841449,-1.387,1.387,1.923769,,
,28,31,1.573,1.3,0.13,1.28,0.68,,0.273,0.273,0.074529,0.293,0.293,0.085849,,
,1h1r,1oi9,-2.072,0.32,0.1,0.19,0.4,,-2.392,2.392,5.721664,-2.262,2.262,5.116644,,
,1h1r,21,-0.159,0.41,0.09,0.38,0.25,,-0.569,0.569,0.323761,-0.539,0.539,0.290521,,
,30,26,1.381,-0.15,0.23,0.02,0.8,,1.531,1.531,2.343961,1.361,1.361,1.852321,,
,1oiy,32,0.035,-1.16,0.22,-0.7,0.8,,1.195,1.195,1.428025,0.735,0.735,0.540225,,
,17,22,-0.821,0.23,0.08,0.07,0.4,,-1.051,1.051,1.104601,-0.891,0.891,0.793881,,
,26,1oi9,-1.31,-0.25,0.1,0.14,0.8,,-1.06,1.06,1.1236,-1.45,1.45,2.1025,,
,1oiy,29,-0.097,-0.67,0.29,-0.36,0.67,,0.573,0.573,0.328329,0.263,0.263,0.069169,,
,1oiy,31,0.246,0.01,0.24,-0.26,0.68,,0.236,0.236,0.055696,0.506,0.506,0.256036,,
,31,32,-0.211,0.01,0.16,-0.45,0.8,,-0.221,0.221,0.048841,0.239,0.239,0.057121,,
,1oi9,20,1.023,0.02,0.11,-0.05,0.43,,1.003,1.003,1.006009,1.073,1.073,1.151329,,
,20,1h1q,0.539,0.61,0.09,0.54,0.43,,-0.071,0.071,0.005041,-0.001,0.001,0.000001,,
,1oiy,1h1q,1.606,0.54,0.11,0.6,0.48,,1.066,1.066,1.136356,1.006,1.006,1.012036,,
,1oiu,1h1q,0.904,2.75,0.12,2.65,0.43,,-1.846,1.846,3.407716,-1.746,1.746,3.048516,,
,30,31,0.273,-0.03,0.13,-0.2,0.8,,0.303,0.303,0.091809,0.473,0.473,0.223729,0.90904,1.113220409
JNK1,17124-1,18634-1,-0.32,0.47,0.08,0.64,0.45,,-0.79,0.79,0.6241,-0.96,0.96,0.9216,,
,18626-1,18624-1,0.38,0.76,0.08,0.73,0.3,,-0.38,0.38,0.1444,-0.35,0.35,0.1225,,
,18636-1,18625-1,-0.59,-0.3,0.09,-0.22,0.3,,-0.29,0.29,0.0841,-0.37,0.37,0.1369,,
,18632-1,18624-1,0.59,0.6,0.09,0.54,0.31,,-0.01,0.01,0.0001,0.05,0.05,0.0025,,
,18635-1,18625-1,-0.82,0.97,0.07,0.92,0.19,,-1.79,1.79,3.2041,-1.74,1.74,3.0276,,
,18626-1,18658-1,-0.83,-1.66,0.14,-1.93,0.44,,0.83,0.83,0.6889,1.1,1.1,1.21,,
,18639-1,18658-1,0.04,0.51,0.13,0.71,0.44,,-0.47,0.47,0.2209,-0.67,0.67,0.4489,,
,18626-1,18625-1,0.77,1.68,0.08,1.65,0.3,,-0.91,0.91,0.8281,-0.88,0.88,0.7744,,
,18638-1,18658-1,0.39,0.79,0.13,0.86,0.33,,-0.4,0.4,0.16,-0.47,0.47,0.2209,,
,18628-1,18624-1,0.21,-0.33,0.07,-0.09,0.45,,0.54,0.54,0.2916,0.3,0.3,0.09,,
,18631-1,18660-1,0.71,-0.57,0.11,-0.74,0.38,,1.28,1.28,1.6384,1.45,1.45,2.1025,,
,18638-1,18634-1,0.1,0.28,0.12,0.21,0.33,,-0.18,0.18,0.0324,-0.11,0.11,0.0121,,
,18626-1,18632-1,-0.21,0.25,0.08,0.19,0.31,,-0.46,0.46,0.2116,-0.4,0.4,0.16,,
,18626-1,18630-1,-0.27,0.55,0.06,0.54,0.02,,-0.82,0.82,0.6724,-0.81,0.81,0.6561,,
,18631-1,18624-1,0.92,2.68,0.1,2.56,0.45,,-1.76,1.76,3.0976,-1.64,1.64,2.6896,,
,18629-1,18627-1,0.19,-0.41,0.09,-0.41,0,,0.6,0.6,0.36,0.6,0.6,0.36,,
,18634-1,18637-1,-0.15,-0.61,0.13,-0.72,0.4,,0.46,0.46,0.2116,0.57,0.57,0.3249,,
,18626-1,18627-1,0.39,0.26,0.09,0.27,0.02,,0.13,0.13,0.0169,0.12,0.12,0.0144,,
,18631-1,18652-1,-1.27,-1.63,0.15,-1.63,0,,0.36,0.36,0.1296,0.36,0.36,0.1296,,
,18637-1,18631-1,0.73,1.58,0.15,1.47,0.4,,-0.85,0.85,0.7225,-0.74,0.74,0.5476,,
,18626-1,18634-1,-1.12,-2.43,0.1,-2.59,0.45,,1.31,1.31,1.7161,1.47,1.47,2.1609,,
,18633-1,18624-1,0.68,0.78,0.1,0.78,0,,-0.1,0.1,0.01,-0.1,0.1,0.01,,
,17124-1,18631-1,0.26,1.57,0.11,1.4,0.45,,-1.31,1.31,1.7161,-1.14,1.14,1.2996,,
,18627-1,18630-1,-0.66,0.26,0.06,0.27,0.02,,-0.92,0.92,0.8464,-0.93,0.93,0.8649,,
,18659-1,18634-1,-0.53,-0.45,0.09,-0.3,0.44,,-0.08,0.08,0.0064,-0.23,0.23,0.0529,,
,18636-1,18624-1,-0.98,-1.07,0.09,-1.15,0.3,,0.09,0.09,0.0081,0.17,0.17,0.0289,,
,18626-1,18628-1,0.17,0.57,0.09,0.81,0.45,,-0.4,0.4,0.16,-0.64,0.64,0.4096,,
,18626-1,18660-1,0.17,-2.74,0.14,-2.57,0.38,,2.91,2.91,8.4681,2.74,2.74,7.5076,,
,18626-1,18659-1,-0.59,-2.45,0.14,-2.3,0.44,,1.86,1.86,3.4596,1.71,1.71,2.9241,,
,18639-1,18634-1,-0.25,0.25,0.09,0.05,0.44,,-0.5,0.5,0.25,-0.3,0.3,0.09,,
,18635-1,18624-1,-1.21,-0.05,0.1,0,0.19,,-1.16,1.16,1.3456,-1.21,1.21,1.4641,0.78483871,0.99619761
MCL1,50,60,0.41,-0.84,0.13,-0.62,0.82,,1.25,1.25,1.5625,1.03,1.03,1.0609,,
,56,35,0.45,2.93,0.11,3.05,0.46,,-2.48,2.48,6.1504,-2.6,2.6,6.76,,
,65,60,-0.51,0.9,0.03,0.81,1.07,,-1.41,1.41,1.9881,-1.32,1.32,1.7424,,
,26,57,-0.8,-0.3,0.08,-0.59,0.63,,-0.5,0.5,0.25,-0.21,0.21,0.0441,,
,58,60,0.49,2.36,0.13,2.2,1.13,,-1.87,1.87,3.4969,-1.71,1.71,2.9241,,
,62,45,-1,-1.67,0.19,-1.23,0.87,,0.67,0.67,0.4489,0.23,0.23,0.0529,,
,60,36,0.74,1.43,0.16,1.53,0.44,,-0.69,0.69,0.4761,-0.79,0.79,0.6241,,
,30,27,1.74,0.31,0.07,0.07,1.22,,1.43,1.43,2.0449,1.67,1.67,2.7889,,
,33,27,0.76,1.18,0.08,1.01,0.8,,-0.42,0.42,0.1764,-0.25,0.25,0.0625,,
,43,27,0.92,1.79,0.13,1.91,1.04,,-0.87,0.87,0.7569,-0.99,0.99,0.9801,,
,67,58,-1.83,-1.94,0.07,-2.1,1.13,,0.11,0.11,0.0121,0.27,0.27,0.0729,,
,67,32,1,3.44,0.1,3.44,1.19,,-2.44,2.44,5.9536,-2.44,2.44,5.9536,,
,30,40,0.6,-2.79,0.1,-2.33,1.22,,3.39,3.39,11.4921,2.93,2.93,8.5849,,
,38,60,-1.9,-2.1,0.21,-1.82,0.72,,0.2,0.2,0.04,-0.08,0.08,0.0064,,
,41,35,-1.68,0.98,0.12,0.65,1.19,,-2.66,2.66,7.0756,-2.33,2.33,5.4289,,
,54,23,0.95,1.58,0.17,1.82,0.51,,-0.63,0.63,0.3969,-0.87,0.87,0.7569,,
,56,60,0.34,1.1,0.13,0.98,0.46,,-0.76,0.76,0.5776,-0.64,0.64,0.4096,,
,66,42,-0.47,0.96,0.14,1.04,0.32,,-1.43,1.43,2.0449,-1.51,1.51,2.2801,,
,29,40,-0.31,-1.45,0.14,-1.91,1.22,,1.14,1.14,1.2996,1.6,1.6,2.56,,
,26,44,-0.44,-1.14,0.06,-1.06,0.38,,0.7,0.7,0.49,0.62,0.62,0.3844,,
,49,35,-0.45,0.3,0.03,0.74,0.72,,-0.75,0.75,0.5625,-1.19,1.19,1.4161,,
,29,35,-1.87,-2.2,0.08,-1.07,1.25,,0.33,0.33,0.1089,-0.8,0.8,0.64,,
,42,51,0.45,0.97,0.04,0.58,0.87,,-0.52,0.52,0.2704,-0.13,0.13,0.0169,,
,39,32,0.44,1.42,0.08,1.26,0.79,,-0.98,0.98,0.9604,-0.82,0.82,0.6724,,
,35,37,-0.14,-1.86,0.07,-1.86,1.01,,1.72,1.72,2.9584,1.72,1.72,2.9584,,
,28,35,-2.19,-1.03,0.09,-1.42,1.23,,-1.16,1.16,1.3456,-0.77,0.77,0.5929,,
,35,53,-1.15,-4.03,0.09,-3.88,1.14,,2.88,2.88,8.2944,2.73,2.73,7.4529,,
,67,63,-1.48,-0.72,0.14,-0.76,1.03,,-0.76,0.76,0.5776,-0.72,0.72,0.5184,,
,27,45,-2.84,-2.67,0.14,-2.68,0.6,,-0.17,0.17,0.0289,-0.16,0.16,0.0256,,
,41,32,0.55,1.58,0.11,1.91,1.19,,-1.03,1.03,1.0609,-1.36,1.36,1.8496,,
,67,53,-2.38,-1.56,0.07,-1.71,1.14,,-0.82,0.82,0.6724,-0.67,0.67,0.4489,,
,35,33,1.94,0.7,0.07,0.53,0.8,,1.24,1.24,1.5376,1.41,1.41,1.9881,,
,27,46,-1.48,-0.78,0.13,-0.91,1.11,,-0.7,0.7,0.49,-0.57,0.57,0.3249,,
,66,23,-0.4,0.93,0.03,0.85,0.32,,-1.33,1.33,1.7689,-1.25,1.25,1.5625,,
,67,61,-0.5,0.4,0.14,0.3,1.08,,-0.9,0.9,0.81,-0.8,0.8,0.64,,
,57,23,0.21,1.08,0.13,0.79,0.63,,-0.87,0.87,0.7569,-0.58,0.58,0.3364,,
,30,35,-0.96,-1.14,0.06,-1.48,1.2,,0.18,0.18,0.0324,0.52,0.52,0.2704,,
,61,60,-0.84,-0.1,0.06,-0.2,1.08,,-0.74,0.74,0.5476,-0.64,0.64,0.4096,,
,67,31,-0.34,2.97,0.09,2.74,1.21,,-3.31,3.31,10.9561,-3.08,3.08,9.4864,,
,32,46,-1.02,-0.75,0.13,-0.62,1.11,,-0.27,0.27,0.0729,-0.4,0.4,0.16,,
,35,60,-0.1,-2.27,0.16,-2.07,1.13,,2.17,2.17,4.7089,1.97,1.97,3.8809,,
,31,35,-0.89,-0.34,0.08,-0.57,1.21,,-0.55,0.55,0.3025,-0.32,0.32,0.1024,,
,62,26,-0.28,-0.61,0.14,-1.05,0.87,,0.33,0.33,0.1089,0.77,0.77,0.5929,,
,35,36,0.63,-0.45,0.07,-0.55,0.44,,1.08,1.08,1.1664,1.18,1.18,1.3924,,
,26,64,-1.26,-0.35,0.14,-0.58,0.87,,-0.91,0.91,0.8281,-0.68,0.68,0.4624,,
,38,35,-1.79,0.53,0.12,0.25,0.72,,-2.32,2.32,5.3824,-2.04,2.04,4.1616,,
,35,34,1.94,0.03,0.08,-0.02,0.88,,1.91,1.91,3.6481,1.96,1.96,3.8416,,
,29,27,0.82,1.15,0.07,0.48,1.25,,-0.33,0.33,0.1089,0.34,0.34,0.1156,,
,48,27,0.55,-2.05,0.13,-1.93,1.06,,2.6,2.6,6.76,2.48,2.48,6.1504,,
,68,45,-1.26,-2.29,0.12,-2.33,0.63,,1.03,1.03,1.0609,1.07,1.07,1.1449,,
,63,60,0.15,0.9,0.03,0.86,1.03,,-0.75,0.75,0.5625,-0.71,0.71,0.5041,,
,54,42,0.88,2.25,0.04,2.01,0.51,,-1.37,1.37,1.8769,-1.13,1.13,1.2769,,
,44,23,-0.16,1.17,0.15,1.25,0.38,,-1.33,1.33,1.7689,-1.41,1.41,1.9881,,
,28,27,0.51,-0.13,0.07,0.13,1.23,,0.64,0.64,0.4096,0.38,0.38,0.1444,,
,67,27,1.46,3.28,0.1,3.73,1.25,,-1.82,1.82,3.3124,-2.27,2.27,5.1529,,
,52,60,0.31,0.19,0.17,0.1,1.07,,0.12,0.12,0.0144,0.21,0.21,0.0441,,
,27,23,-2.71,-2.31,0.23,-2.3,0.6,,-0.4,0.4,0.16,-0.41,0.41,0.1681,,
,49,67,0.78,-0.99,0.1,-1.43,0.72,,1.77,1.77,3.1329,2.21,2.21,4.8841,,
,28,47,0.85,-0.34,0.14,-0.22,1.04,,1.19,1.19,1.4161,1.07,1.07,1.1449,,
,67,52,-1.64,0.1,0.09,0.01,1.07,,-1.74,1.74,3.0276,-1.65,1.65,2.7225,,
,30,48,1.19,1.89,0.12,2.01,1.06,,-0.7,0.7,0.49,-0.82,0.82,0.6724,,
,67,35,-1.23,2.43,0.09,2.18,1.25,,-3.66,3.66,13.3956,-3.41,3.41,11.6281,,
,32,34,-0.29,-1.33,0.07,-1.28,0.88,,1.04,1.04,1.0816,0.99,0.99,0.9801,,
,65,67,0.83,0.62,0.15,0.71,1.07,,0.21,0.21,0.0441,0.12,0.12,0.0144,,
,67,50,-1.75,0.51,0.06,0.73,0.82,,-2.26,2.26,5.1076,-2.48,2.48,6.1504,,
,35,39,1.79,0.16,0.09,0,0.79,,1.63,1.63,2.6569,1.79,1.79,3.2041,,
,43,47,1.26,1.68,0.06,1.56,1.04,,-0.42,0.42,0.1764,-0.3,0.3,0.09,,
,67,37,-1.37,0.32,0.05,0.32,1.01,,-1.69,1.69,2.8561,-1.69,1.69,2.8561,,
,42,64,-0.6,-1.19,0.15,-0.96,0.87,,0.59,0.59,0.3481,0.36,0.36,0.1296,,
,51,45,-0.51,-0.74,0.11,-1.13,0.87,,0.23,0.23,0.0529,0.62,0.62,0.3844,,
,68,23,-1.14,-2,0.14,-1.96,0.63,,0.86,0.86,0.7396,0.82,0.82,0.6724,1.155915493,1.413741913
P38,p38a_2u,p38a_2q,0,0.51,0.16,0.42,0.34,,-0.51,0.51,0.2601,-0.42,0.42,0.1764,,
,p38a_3fln,p38a_2g,0.22,-0.08,0.06,-0.24,0.73,,0.3,0.3,0.09,0.46,0.46,0.2116,,
,p38a_2u,p38a_2k,1.71,2.7,0.19,2.79,0.34,,-0.99,0.99,0.9801,-1.08,1.08,1.1664,,
,p38a_2v,p38a_3fln,-1.91,-1.61,0.08,-1.33,0.93,,-0.3,0.3,0.09,-0.58,0.58,0.3364,,
,p38a_3fln,p38a_2n,-0.97,-0.92,0.09,-1.15,0.76,,-0.05,0.05,0.0025,0.18,0.18,0.0324,,
,p38a_2ee,p38a_3fln,1.38,1.19,0.11,1.23,0.72,,0.19,0.19,0.0361,0.15,0.15,0.0225,,
,p38a_3fly,p38a_3flq,1.49,1,0.1,0.89,1.03,,0.49,0.49,0.2401,0.6,0.6,0.36,,
,p38a_3fln,p38a_2p,-0.32,-0.2,0.1,-0.25,0.57,,-0.12,0.12,0.0144,-0.07,0.07,0.0049,,
,p38a_3fly,p38a_2x,1.19,1.64,0.1,1.51,0.34,,-0.45,0.45,0.2025,-0.32,0.32,0.1024,,
,p38a_2v,p38a_2y,-0.8,-1.86,0.12,-2.08,1.13,,1.06,1.06,1.1236,1.28,1.28,1.6384,,
,p38a_2j,p38a_2f,1.6,0.37,0.09,0.43,0.73,,1.23,1.23,1.5129,1.17,1.17,1.3689,,
,p38a_2j,p38a_2q,-2.18,-3.03,0.17,-2.94,0.34,,0.85,0.85,0.7225,0.76,0.76,0.5776,,
,p38a_2z,p38a_3fmk,-1.47,-2.93,0.12,-2.52,1.29,,1.46,1.46,2.1316,1.05,1.05,1.1025,,
,p38a_3fly,p38a_3fmh,0.6,-0.73,0.08,-0.73,0.24,,1.33,1.33,1.7689,1.33,1.33,1.7689,,
,p38a_2z,p38a_2aa,1.09,1.67,0.1,1.08,1.29,,-0.58,0.58,0.3364,0.01,0.01,0.0001,,
,p38a_3fln,p38a_2gg,0.22,-0.19,0.15,0.03,0.51,,0.41,0.41,0.1681,0.19,0.19,0.0361,,
,p38a_2v,p38a_3fly,-2.45,-1.82,0.07,-2.06,1.03,,-0.63,0.63,0.3969,-0.39,0.39,0.1521,,
,p38a_2j,p38a_2h,0.6,-0.5,0.11,-0.78,0.72,,1.1,1.1,1.21,1.38,1.38,1.9044,,
,p38a_2l,p38a_2o,1.77,2.93,0.09,2.41,0.93,,-1.16,1.16,1.3456,-0.64,0.64,0.4096,,
,p38a_3fln,p38a_2t,-0.97,-0.31,0.08,-0.49,0.85,,-0.66,0.66,0.4356,-0.48,0.48,0.2304,,
,p38a_2v,p38a_2x,-1.26,-0.67,0.09,-0.54,0.34,,-0.59,0.59,0.3481,-0.72,0.72,0.5184,,
,p38a_2j,p38a_2ff,-1.36,-1.19,0.14,-1.12,0.74,,-0.17,0.17,0.0289,-0.24,0.24,0.0576,,
,p38a_2g,p38a_2c,0.2,-1.08,0.13,-1.35,0.43,,1.28,1.28,1.6384,1.55,1.55,2.4025,,
,p38a_2l,p38a_2p,1.06,1.73,0.12,1.78,0.57,,-0.67,0.67,0.4489,-0.72,0.72,0.5184,,
,p38a_2g,p38a_2h,1.18,-0.64,0.14,-0.36,0.72,,1.82,1.82,3.3124,1.54,1.54,2.3716,,
,p38a_3fln,p38a_2o,0.39,-0.14,0.09,0.38,0.93,,0.53,0.53,0.2809,0.01,0.01,0.0001,,
,p38a_2gg,p38a_2j,0.58,-0.08,0.2,0.14,0.51,,0.66,0.66,0.4356,0.44,0.44,0.1936,,
,p38a_3fln,p38a_2r,0.09,-2.03,0.09,-2.25,0.88,,2.12,2.12,4.4944,2.34,2.34,5.4756,,
,p38a_3fln,p38a_2i,0.83,-0.7,0.1,-0.38,0.72,,1.53,1.53,2.3409,1.21,1.21,1.4641,,
,p38a_2z,p38a_3flw,-0.32,-0.58,0.16,-0.73,1.06,,0.26,0.26,0.0676,0.41,0.41,0.1681,,
,p38a_2g,p38a_2i,0.61,0.19,0.07,-0.13,0.72,,0.42,0.42,0.1764,0.74,0.74,0.5476,,
,p38a_3flz,p38a_2c,-0.97,-1.75,0.14,-1.48,0.43,,0.78,0.78,0.6084,0.51,0.51,0.2601,,
,p38a_2ee,p38a_2j,2.18,1.45,0.13,1.41,0.72,,0.73,0.73,0.5329,0.77,0.77,0.5929,,
,p38a_2m,p38a_2j,0.88,3.33,0.11,3.29,0.71,,-2.45,2.45,6.0025,-2.41,2.41,5.8081,,
,p38a_2t,p38a_2j,1.77,0.85,0.1,0.67,0.85,,0.92,0.92,0.8464,1.1,1.1,1.21,,
,p38a_2j,p38a_2r,-0.71,-2.64,0.13,-2.42,0.88,,1.93,1.93,3.7249,1.71,1.71,2.9241,,
,p38a_2e,p38a_2j,0.62,0.3,0.09,0.32,0.67,,0.32,0.32,0.1024,0.3,0.3,0.09,,
,p38a_2v,p38a_3fmh,-1.85,-2.8,0.1,-2.79,0.24,,0.95,0.95,0.9025,0.94,0.94,0.8836,,
