leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
edge_23482_23485,     56.78,      0.23,      0.23,      0.03,     57.21,      0.19,      0.19,     -0.02,     56.35,      0.21,      0.22,     -0.00,     59.21,      0.40,      0.60,      0.33,     58.10,      0.48,      0.52,      0.01,     56.76,      0.36,      0.88,      0.79,      2.43,      0.46,      0.64,      0.89,      0.52,      0.55,      0.41,      0.42,      0.91,      1.24,      0.64,      0.68
edge_23482_23486,     46.27,      0.22,      0.25,      0.08,     46.43,      0.21,      0.22,      0.13,     45.60,      0.21,      0.23,      0.10,     43.21,      1.30,      0.72,      0.16,     44.07,      0.53,      0.49,      0.04,     45.03,      0.56,      0.50,     -0.21,     -3.06,      1.32,      0.76,     -2.36,      0.57,      0.54,     -0.57,      0.60,      0.55,     -2.00,      0.87,      0.80
edge_23483_23479,     31.84,      0.38,      0.33,     -0.16,     31.75,      0.32,      0.28,     -0.22,     31.87,      0.23,      0.25,      0.05,     33.51,      0.98,      0.61,      0.02,     31.88,      0.54,      0.60,      0.33,     30.84,      0.37,      0.45,      0.20,      1.67,      1.05,      0.69,      0.13,      0.63,      0.66,     -1.03,      0.44,      0.51,      0.26,      0.84,      0.82
edge_23484_23479,     49.93,      0.30,      0.45,      0.35,     49.24,      0.25,      0.62,      0.72,     49.46,      0.42,      0.53,      0.33,     47.13,      0.95,      4.32,      0.99,     51.45,      0.64,     52.70,      1.00,     46.43,      0.47,     94.29,      1.00,     -2.80,      1.00,      4.34,      2.21,      0.69,     52.70,     -3.03,      0.63,     94.29,     -1.21,      1.75,     32.48
edge_23484_23482,    -43.76,      0.22,      0.25,      0.00,    -43.67,      0.29,      0.28,     -0.07,    -43.90,      0.33,      0.29,     -0.02,    -39.44,      1.13,     27.85,      1.00,    -43.53,      0.22,     50.63,      1.00,    -41.21,      0.38,     24.16,      1.00,      4.32,      1.15,     27.85,      0.14,      0.36,     50.63,      2.69,      0.50,     24.16,      2.38,      1.24,     18.43
edge_23484_23485,     13.18,      0.16,      0.17,      0.06,     12.60,      0.22,      0.19,     -0.03,     12.82,      0.18,      0.18,     -0.05,     13.89,      0.29,      2.88,      0.99,     12.85,      0.31,      0.49,      0.57,     13.40,      0.83,      0.73,     -0.29,      0.71,      0.33,      2.89,      0.25,      0.38,      0.53,      0.58,      0.85,      0.75,      0.51,      0.32,      0.85
edge_23484_23486,      3.06,      0.13,      0.15,      0.13,      2.89,      0.17,      0.16,     -0.12,      2.69,      0.15,      0.18,      0.00,      2.52,      0.34,      0.83,      0.80,      0.79,      0.41,      2.11,      0.97,      4.55,      0.64,      4.54,      0.99,     -0.54,      0.36,      0.84,     -2.10,      0.44,      2.12,      1.86,      0.66,      4.54,     -0.26,      1.16,      1.76
edge_23485_23479,     37.39,      0.39,      0.39,     -0.15,     37.48,      0.30,      0.29,      0.06,     37.52,      0.33,      0.39,      0.03,     35.39,      0.40,      8.57,      1.00,     35.01,      0.38,      1.55,      0.93,     35.24,      0.30,     21.09,      1.00,     -2.00,      0.56,      8.58,     -2.47,      0.48,      1.58,     -2.28,      0.45,     21.09,     -2.25,      0.30,      6.21
edge_23486_23479,     46.79,      0.29,      0.28,     -0.22,     48.07,      0.28,      0.40,      0.41,     48.23,      0.25,      0.37,      0.38,     51.23,      0.81,      0.84,      0.60,     46.09,      0.28,     48.51,      1.00,     50.76,      0.98,     21.71,      1.00,      4.44,      0.86,      0.89,     -1.98,      0.40,     48.51,      2.53,      1.01,     21.71,      1.66,      1.95,     15.20
edge_23486_23485,     10.61,      0.16,      0.17,      0.07,     10.64,      0.14,      0.14,      0.04,     10.57,      0.17,      0.16,      0.04,     13.54,      0.41,      0.40,     -0.04,     12.96,      0.24,      0.29,      0.11,     11.95,      0.38,      0.30,     -0.20,      2.93,      0.44,      0.43,      2.32,      0.28,      0.32,      1.38,      0.42,      0.34,      2.21,      0.48,      0.48
edge_20667_2qbp_23479,     54.83,      0.24,      0.46,      0.65,     54.61,      0.40,      0.47,      0.12,     54.84,      0.32,      0.34,      0.10,     55.38,      0.37,      0.46,      0.06,     56.44,      0.58,      1.17,      0.82,     54.57,      0.52,      0.63,      0.21,      0.55,      0.44,      0.65,      1.83,      0.70,      1.26,     -0.27,      0.61,      0.72,      0.70,      0.66,      0.70
edge_20667_2qbp_23482,    -38.87,      0.26,      0.23,     -0.07,    -38.34,      0.22,      0.23,     -0.07,    -39.40,      0.20,      0.20,      0.08,    -38.79,      0.43,      0.48,      0.11,    -38.96,      0.53,      0.37,     -0.32,    -38.35,      0.36,      0.44,      0.27,      0.08,      0.50,      0.53,     -0.62,      0.57,      0.44,      1.05,      0.41,      0.48,      0.17,      0.54,      0.53
edge_20667_2qbp_23484,      4.57,      0.19,      0.21,      0.07,      4.71,      0.18,      0.19,      0.02,      4.74,      0.15,      0.18,      0.10,      4.13,      0.31,      1.16,      0.91,      5.75,      0.64,     11.10,      1.00,      2.98,      0.92,     15.90,      1.00,     -0.44,      0.36,      1.18,      1.04,      0.66,     11.10,     -1.76,      0.93,     15.90,     -0.39,      0.86,      5.77
edge_20667_2qbp_23485,     17.97,      0.13,      0.15,      0.08,     18.07,      0.13,      0.15,      0.05,     18.12,      0.12,      0.14,      0.04,     18.93,      0.29,      0.29,     -0.03,     16.71,      0.25,      0.23,     -0.08,     19.46,      0.35,      0.43,      0.20,      0.96,      0.32,      0.33,     -1.36,      0.28,      0.27,      1.34,      0.37,      0.45,      0.31,      0.85,      0.86
edge_20667_2qbp_23486,      7.33,      0.14,      0.15,      0.05,      7.28,      0.17,      0.16,     -0.04,      7.15,      0.15,      0.15,      0.02,      6.04,      0.39,      0.55,      0.42,      7.79,      0.26,      0.24,     -0.13,      6.54,      0.44,      0.34,     -0.29,     -1.29,      0.41,      0.57,      0.51,      0.31,      0.29,     -0.61,      0.46,      0.37,     -0.46,      0.56,      0.55
edge_20669_2qbr_23466,    -12.96,      0.23,      0.21,     -0.07,    -13.10,      0.23,      0.22,     -0.04,    -13.39,      0.23,      0.18,     -0.14,    -13.59,      0.38,      0.33,     -0.23,    -12.52,      0.32,      0.31,      0.05,    -12.93,      0.53,      1.10,      0.79,     -0.63,      0.44,      0.39,      0.58,      0.39,      0.38,      0.46,      0.58,      1.11,      0.14,      0.44,      0.52
edge_20669_2qbr_23472,    -91.99,      0.16,      0.17,      0.07,    -92.38,      0.14,      0.17,      0.13,    -92.25,      0.18,      0.19,      0.07,    -95.47,      0.22,      0.19,      0.03,    -94.12,      0.32,      0.24,     -0.40,    -92.07,      0.42,      0.47,      0.18,     -3.48,      0.27,      0.25,     -1.74,      0.35,      0.29,      0.18,      0.46,      0.51,     -1.68,      1.07,      1.07
edge_20670_2qbs_23466,     -4.47,      0.28,      0.26,     -0.04,     -4.49,      0.23,      0.24,      0.10,     -4.87,      0.19,      0.22,      0.13,     -3.95,      0.58,      0.56,     -0.05,     -3.11,      0.28,      1.23,      0.89,     -4.06,      0.30,      0.56,      0.54,      0.52,      0.64,      0.62,      1.38,      0.36,      1.25,      0.81,      0.36,      0.60,      0.90,      0.34,      0.49
edge_20670_2qbs_23477,    -22.07,      0.12,      0.15,      0.11,    -21.96,      0.14,      0.13,     -0.06,    -22.53,      0.11,      0.14,      0.14,    -21.93,      0.16,      0.18,      0.13,    -21.35,      0.30,      0.24,     -0.18,    -21.27,      0.18,      0.20,      0.06,      0.14,      0.20,      0.23,      0.61,      0.33,      0.27,      1.26,      0.21,      0.24,      0.67,      0.35,      0.34
edge_20670_2qbs_23479,    -42.50,      0.12,      0.14,      0.05,    -42.53,      0.16,      0.15,     -0.06,    -42.64,      0.15,      0.14,      0.05,    -41.87,      0.26,      0.20,     -0.17,    -41.51,      0.44,      0.35,     -0.21,    -42.38,      0.23,      0.24,      0.14,      0.63,      0.29,      0.24,      1.02,      0.47,      0.38,      0.26,      0.27,      0.28,      0.64,      0.26,      0.25
edge_20670_2qbs_23482,   -135.24,      0.17,      0.19,      0.08,   -136.11,      0.16,      0.17,      0.07,   -135.33,      0.19,      0.21,     -0.04,   -134.49,      0.34,      0.48,      0.45,   -136.82,      0.30,      0.73,      0.72,   -135.68,      0.40,      0.34,     -0.13,      0.75,      0.38,      0.52,     -0.71,      0.34,      0.75,     -0.35,      0.44,      0.40,     -0.10,      0.48,      0.50
edge_20670_2qbs_23483,    -79.55,      0.20,      0.26,      0.24,    -79.56,      0.23,      0.24,     -0.00,    -79.92,      0.22,      0.25,      0.03,    -79.90,      0.55,      0.50,     -0.14,    -80.66,      0.36,      0.94,      0.81,    -78.76,      0.35,      0.58,      0.57,     -0.35,      0.59,      0.56,     -1.10,      0.43,      0.97,      1.16,      0.41,      0.63,     -0.10,      0.71,      0.74
edge_20670_2qbs_23330_2qbq,     14.77,      0.14,      0.15,      0.02,     14.34,      0.15,      0.15,     -0.07,     14.77,      0.14,      0.14,     -0.00,     14.30,      0.29,      0.28,     -0.11,     14.00,      0.19,      0.17,     -0.15,     13.83,      0.30,      0.29,     -0.06,     -0.47,      0.32,      0.32,     -0.34,      0.24,      0.23,     -0.94,      0.33,      0.32,     -0.58,      0.22,      0.23
