leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
edge_35_53,      0.79,      0.09,      0.09,     -0.11,      0.85,      0.08,      0.08,     -0.05,      0.94,      0.09,      0.08,     -0.09,     -1.73,      0.25,      0.43,      0.44,     -2.91,      0.16,      0.19,      0.12,     -2.27,      0.14,      0.20,      0.33,     -2.52,      0.27,      0.44,     -3.76,      0.18,      0.21,     -3.21,      0.17,      0.22,     -3.16,      0.37,      0.38
edge_67_63,    -43.56,      0.09,      0.08,     -0.01,    -43.44,      0.07,      0.08,      0.02,    -43.32,      0.07,      0.07,     -0.03,    -44.53,      0.11,      0.10,     -0.00,    -45.00,      0.10,      0.11,      0.00,    -44.17,      0.12,      0.12,     -0.08,     -0.97,      0.14,      0.13,     -1.56,      0.12,      0.14,     -0.85,      0.14,      0.14,     -1.13,      0.23,      0.23
edge_27_45,      9.63,      0.13,      0.15,      0.10,      9.37,      0.09,      0.11,      0.17,      9.52,      0.11,      0.12,      0.11,      8.76,      0.28,      1.00,      0.89,      8.13,      0.33,      0.48,      0.34,      7.14,      0.20,      0.18,     -0.16,     -0.87,      0.31,      1.01,     -1.24,      0.34,      0.49,     -2.38,      0.23,      0.22,     -1.50,      0.47,      0.55
edge_41_32,     -9.86,      0.11,      0.13,      0.02,     -9.57,      0.12,      0.13,      0.09,    -10.05,      0.16,      0.13,     -0.08,     -7.34,      0.45,      0.50,      0.16,     -7.62,      0.53,      0.51,     -0.03,     -9.90,      0.32,      1.36,      0.93,      2.52,      0.46,      0.52,      1.95,      0.54,      0.53,      0.15,      0.36,      1.37,      1.54,      0.75,      0.79
edge_67_53,    -33.43,      0.07,      0.08,      0.03,    -33.64,      0.09,      0.09,      0.01,    -33.64,      0.06,      0.07,      0.00,    -34.61,      0.10,      0.11,      0.07,    -33.41,      0.13,      0.11,     -0.16,    -34.36,      0.11,      0.14,      0.30,     -1.18,      0.12,      0.14,      0.23,      0.16,      0.14,     -0.72,      0.13,      0.16,     -0.56,      0.42,      0.42
edge_35_33,      0.78,      0.08,      0.07,     -0.00,      0.82,      0.08,      0.08,     -0.02,      0.56,      0.09,      0.09,      0.03,      0.12,      0.16,      0.14,     -0.19,      0.79,      0.22,      0.24,      0.14,      0.27,      0.12,      0.14,      0.05,     -0.66,      0.18,      0.16,     -0.03,      0.23,      0.25,     -0.29,      0.15,      0.17,     -0.33,      0.20,      0.20
edge_27_46,     -3.97,      0.09,      0.09,     -0.00,     -3.72,      0.09,      0.09,     -0.06,     -3.93,      0.11,      0.10,     -0.07,     -4.15,      0.25,      0.22,     -0.15,     -4.22,      0.21,      0.23,      0.08,     -4.28,      0.30,      0.28,     -0.03,     -0.18,      0.27,      0.24,     -0.50,      0.23,      0.25,     -0.35,      0.32,      0.30,     -0.34,      0.16,      0.16
edge_66_23,      0.88,      0.08,      0.07,     -0.08,      0.93,      0.08,      0.08,     -0.09,      0.75,      0.09,      0.09,     -0.08,      2.27,      0.09,      0.09,      0.00,      2.23,      0.08,      0.08,      0.01,      2.39,      0.07,      0.07,      0.01,      1.39,      0.12,      0.11,      1.30,      0.11,      0.11,      1.64,      0.11,      0.11,      1.44,      0.12,      0.11
edge_67_61,    -41.60,      0.09,      0.08,      0.02,    -41.21,      0.10,      0.10,      0.09,    -41.50,      0.11,      0.09,      0.03,    -40.34,      0.29,      0.48,      0.29,    -40.77,      0.12,      0.51,      0.88,    -40.52,      0.14,      0.49,      0.81,      1.26,      0.30,      0.49,      0.44,      0.16,      0.52,      0.98,      0.18,      0.50,      0.89,      0.26,      0.34
edge_57_23,     -8.90,      0.08,      0.09,      0.07,     -8.64,      0.07,      0.09,      0.05,     -8.77,      0.08,      0.08,      0.05,     -9.18,      0.10,      0.10,     -0.05,     -9.69,      0.10,      0.11,      0.04,     -9.30,      0.09,      0.09,     -0.01,     -0.28,      0.13,      0.13,     -1.05,      0.12,      0.14,     -0.53,      0.12,      0.12,     -0.62,      0.23,      0.23
edge_30_35,      5.35,      0.07,      0.08,      0.04,      5.65,      0.08,      0.09,      0.04,      5.45,      0.08,      0.08,     -0.05,      5.22,      0.17,      0.37,      0.58,      4.63,      0.16,      0.20,      0.15,      3.95,      0.13,      0.12,     -0.13,     -0.13,      0.18,      0.38,     -1.02,      0.18,      0.22,     -1.50,      0.15,      0.14,     -0.88,      0.41,      0.42
edge_61_60,     -0.95,      0.08,      0.08,     -0.06,     -1.29,      0.09,      0.08,     -0.03,     -1.13,      0.10,      0.09,     -0.00,     -3.08,      0.10,      0.11,      0.00,     -1.73,      0.22,      0.35,      0.30,     -1.60,      0.13,      0.22,      0.40,     -2.13,      0.13,      0.14,     -0.44,      0.24,      0.36,     -0.47,      0.16,      0.24,     -1.01,      0.57,      0.57
edge_67_31,     -7.82,      0.12,      0.11,     -0.05,     -7.99,      0.10,      0.10,     -0.00,     -8.11,      0.11,      0.10,     -0.07,     -4.51,      0.16,      0.28,      0.48,     -3.87,      0.24,      0.21,     -0.13,     -4.51,      0.17,      0.49,      0.78,      3.31,      0.20,      0.30,      4.12,      0.26,      0.23,      3.60,      0.20,      0.50,      3.68,      0.25,      0.30
edge_32_46,     -7.07,      0.07,      0.06,     -0.07,     -7.26,      0.10,      0.10,     -0.08,     -7.14,      0.08,      0.08,     -0.08,     -7.17,      0.17,      0.15,     -0.05,     -7.96,      0.13,      0.17,      0.10,     -6.70,      0.21,      0.20,      0.02,     -0.10,      0.18,      0.16,     -0.70,      0.16,      0.20,      0.44,      0.22,      0.22,     -0.12,      0.33,      0.34
edge_35_60,     -5.54,      0.07,      0.08,      0.03,     -5.55,      0.09,      0.09,      0.00,     -5.51,      0.09,      0.08,     -0.06,     -7.87,      0.12,      0.12,      0.10,     -6.57,      0.16,      0.23,      0.40,     -8.23,      0.12,      0.14,      0.17,     -2.33,      0.14,      0.14,     -1.02,      0.18,      0.25,     -2.72,      0.15,      0.16,     -2.02,      0.52,      0.52
edge_31_35,    -26.72,      0.11,      0.12,      0.05,    -26.41,      0.12,      0.12,     -0.09,    -26.57,      0.10,      0.11,      0.08,    -27.82,      0.19,      0.21,      0.02,    -26.98,      0.24,      0.20,     -0.13,    -27.53,      0.44,      0.35,     -0.25,     -1.10,      0.22,      0.24,     -0.57,      0.27,      0.23,     -0.96,      0.45,      0.37,     -0.88,      0.23,      0.21
edge_62_26,     32.81,      0.09,      0.10,     -0.01,     32.90,      0.08,      0.08,     -0.04,     32.78,      0.09,      0.10,      0.11,     32.42,      0.18,      0.55,      0.78,     31.77,      0.12,      0.21,      0.46,     31.10,      0.11,      0.12,     -0.07,     -0.39,      0.20,      0.56,     -1.13,      0.14,      0.22,     -1.68,      0.14,      0.16,     -1.07,      0.38,      0.40
edge_35_36,      3.70,      0.08,      0.08,     -0.00,      3.64,      0.08,      0.09,      0.09,      3.71,      0.07,      0.07,     -0.01,      4.52,      0.10,      0.19,      0.40,      3.00,      0.19,      0.17,     -0.15,      3.32,      0.21,      0.19,      0.04,      0.82,      0.13,      0.21,     -0.64,      0.21,      0.19,     -0.39,      0.22,      0.20,     -0.07,      0.46,      0.46
edge_26_64,    -43.11,      0.06,      0.07,      0.01,    -43.12,      0.07,      0.08,      0.03,    -43.16,      0.06,      0.07,     -0.01,    -44.23,      0.13,      0.14,      0.21,    -44.23,      0.11,      0.17,      0.34,    -44.24,      0.13,      0.16,      0.22,     -1.12,      0.14,      0.16,     -1.11,      0.13,      0.19,     -1.08,      0.14,      0.17,     -1.10,      0.07,      0.09
edge_38_35,     -8.51,      0.14,      0.15,     -0.02,     -8.20,      0.15,      0.13,     -0.17,     -8.50,      0.13,      0.13,      0.15,     -9.28,      0.56,      2.96,      0.98,     -7.01,      0.40,      0.61,      0.37,     -7.67,      0.26,      4.72,      1.00,     -0.77,      0.58,      2.96,      1.19,      0.43,      0.62,      0.83,      0.29,      4.72,      0.42,      0.62,      1.71
edge_35_34,     12.43,      0.10,      0.10,      0.02,     12.33,      0.12,      0.10,     -0.04,     12.52,      0.11,      0.11,      0.05,     11.76,      0.33,      0.24,     -0.18,     12.90,      0.19,      0.20,      0.15,     13.06,      0.20,      0.26,      0.26,     -0.67,      0.34,      0.26,      0.57,      0.22,      0.22,      0.54,      0.23,      0.28,      0.15,      0.43,      0.42
edge_29_27,    -10.30,      0.40,      1.36,      0.92,    -10.80,      0.29,      1.04,      0.90,    -10.47,      0.22,      1.84,      0.97,    -12.43,      0.39,      4.12,      0.99,     -7.98,      0.34,      3.71,      0.99,    -10.09,      0.70,      3.56,      0.98,     -2.13,      0.56,      4.34,      2.82,      0.45,      3.85,      0.38,      0.73,      4.01,      0.36,      1.45,      2.45
edge_48_27,      5.17,      0.11,      0.11,     -0.06,      5.19,      0.10,      0.10,     -0.03,      5.19,      0.10,      0.10,     -0.07,      3.20,      0.32,      0.30,     -0.14,      3.94,      0.15,      0.13,     -0.23,      4.77,      0.21,      0.25,      0.17,     -1.97,      0.34,      0.32,     -1.25,      0.18,      0.16,     -0.42,      0.23,      0.27,     -1.21,      0.46,      0.45
edge_68_45,   -113.07,      0.13,      0.12,     -0.07,   -113.27,      0.12,      0.12,     -0.01,   -113.31,      0.12,      0.11,      0.05,   -114.78,      0.34,      0.35,     -0.03,   -114.71,      0.35,      0.41,      0.22,   -115.06,      0.41,      0.42,      0.21,     -1.71,      0.36,      0.37,     -1.44,      0.37,      0.43,     -1.75,      0.43,      0.43,     -1.63,      0.21,      0.23
edge_63_60,      0.77,      0.08,      0.07,      0.02,      0.71,      0.08,      0.09,     -0.04,      0.56,      0.08,      0.07,     -0.06,      1.18,      0.12,      0.32,      0.74,      1.36,      0.11,      0.23,      0.56,      2.34,      0.07,      0.11,      0.22,      0.41,      0.14,      0.33,      0.65,      0.14,      0.25,      1.78,      0.11,      0.13,      0.95,      0.43,      0.44
edge_54_42,     -1.12,      0.07,      0.09,      0.07,     -0.94,      0.07,      0.07,      0.05,     -0.96,      0.08,      0.07,     -0.09,      1.07,      0.13,      0.10,     -0.24,      1.05,      0.10,      0.08,     -0.37,      1.66,      0.10,      0.10,     -0.19,      2.19,      0.15,      0.13,      1.99,      0.12,      0.11,      2.62,      0.13,      0.12,      2.27,      0.19,      0.19
edge_44_23,    -12.97,      0.08,      0.08,      0.05,    -12.94,      0.09,      0.08,     -0.09,    -13.05,      0.08,      0.08,     -0.08,    -13.09,      0.13,      0.13,     -0.00,    -11.46,      0.18,      0.21,      0.14,    -13.47,      0.13,      0.12,     -0.04,     -0.12,      0.15,      0.15,      1.48,      0.20,      0.22,     -0.42,      0.15,      0.14,      0.31,      0.59,      0.59
edge_28_27,     -6.17,      0.10,      0.10,      0.01,     -6.48,      0.13,      0.13,      0.00,     -6.24,      0.09,      0.10,      0.08,     -7.04,      0.19,      0.27,      0.39,     -7.43,      0.19,      0.17,     -0.21,     -7.85,      0.18,      0.20,      0.05,     -0.87,      0.21,      0.29,     -0.95,      0.23,      0.21,     -1.61,      0.20,      0.22,     -1.14,      0.26,      0.26
edge_67_27,    -35.76,      0.11,      0.10,     -0.12,    -35.80,      0.09,      0.09,     -0.05,    -36.04,      0.09,      0.10,      0.05,    -33.00,      0.35,      1.00,      0.85,    -32.85,      0.25,      0.17,     -0.34,    -33.91,      0.25,      0.25,      0.11,      2.76,      0.37,      1.00,      2.95,      0.27,      0.19,      2.13,      0.27,      0.27,      2.61,      0.28,      0.39
edge_52_60,     -6.39,      0.08,      0.08,     -0.05,     -6.48,      0.07,      0.08,      0.10,     -6.60,      0.09,      0.08,     -0.01,     -4.93,      0.17,      0.35,      0.59,     -5.54,      0.22,      0.20,      0.05,     -5.39,      0.17,      0.34,      0.58,      1.46,      0.19,      0.36,      0.94,      0.23,      0.22,      1.21,      0.19,      0.35,      1.20,      0.17,      0.21
edge_27_23,      6.55,      0.15,      0.13,     -0.03,      6.38,      0.11,      0.11,     -0.04,      6.59,      0.12,      0.13,      0.13,      5.81,      0.41,      0.37,     -0.11,      7.11,      0.52,      0.74,      0.61,      4.31,      0.38,      0.77,      0.71,     -0.74,      0.44,      0.39,      0.73,      0.53,      0.75,     -2.28,      0.40,      0.78,     -0.76,      0.88,      0.92
edge_49_67,     24.26,      0.07,      0.09,      0.11,     24.11,      0.07,      0.08,      0.02,     24.26,      0.08,      0.08,     -0.08,     22.29,      0.45,      0.49,      0.29,     22.76,      0.22,      0.88,      0.90,     24.79,      0.25,      1.22,      0.93,     -1.97,      0.46,      0.50,     -1.35,      0.23,      0.88,      0.53,      0.26,      1.22,     -0.93,      0.76,      0.83
edge_28_47,     -9.40,      0.14,      0.14,      0.02,     -9.35,      0.12,      0.14,      0.03,     -9.43,      0.12,      0.13,      0.00,    -10.77,      0.34,      0.41,      0.01,     -9.19,      0.19,      0.19,     -0.01,    -11.50,      0.26,      0.28,      0.06,     -1.37,      0.37,      0.43,      0.16,      0.22,      0.24,     -2.07,      0.29,      0.31,     -1.09,      0.67,      0.67
edge_67_52,    -33.65,      0.08,      0.08,     -0.02,    -33.48,      0.07,      0.08,     -0.05,    -33.66,      0.10,      0.11,     -0.01,    -32.27,      0.14,      0.16,      0.07,    -32.43,      0.12,      0.14,      0.18,    -33.34,      0.21,      0.23,      0.01,      1.38,      0.16,      0.18,      1.05,      0.14,      0.16,      0.32,      0.23,      0.25,      0.92,      0.32,      0.33
edge_30_48,     -0.17,      0.12,      0.11,     -0.08,     -0.11,      0.10,      0.10,     -0.02,     -0.34,      0.10,      0.10,     -0.02,      3.13,      0.17,      0.16,     -0.03,      3.32,      0.19,      0.22,      0.11,      3.05,      0.12,      0.14,      0.16,      3.30,      0.21,      0.19,      3.43,      0.21,      0.24,      3.39,      0.16,      0.17,      3.37,      0.11,      0.11
edge_67_35,    -34.40,      0.05,      0.07,      0.10,    -34.44,      0.07,      0.07,      0.01,    -34.32,      0.07,      0.07,     -0.08,    -31.40,      0.14,      0.13,     -0.06,    -30.95,      0.11,      0.09,     -0.20,    -31.51,      0.13,      0.16,      0.17,      3.00,      0.15,      0.15,      3.49,      0.13,      0.11,      2.81,      0.15,      0.17,      3.10,      0.21,      0.21
edge_32_34,     12.84,      0.12,      0.12,     -0.00,     12.96,      0.11,      0.11,      0.08,     12.78,      0.11,      0.11,      0.04,     11.62,      0.14,      0.17,      0.18,     11.94,      0.15,      0.18,      0.18,     12.70,      0.18,      0.22,      0.18,     -1.22,      0.18,      0.21,     -1.02,      0.19,      0.21,     -0.08,      0.21,      0.25,     -0.77,      0.36,      0.36
edge_65_67,     43.94,      0.08,      0.08,      0.01,     44.01,      0.09,      0.09,      0.05,     44.03,      0.07,      0.07,      0.04,     44.84,      0.08,      0.08,      0.08,     44.95,      0.12,      0.12,      0.01,     44.84,      0.08,      0.10,      0.26,      0.90,      0.11,      0.11,      0.94,      0.15,      0.15,      0.81,      0.11,      0.12,      0.88,      0.07,      0.07
edge_67_50,    -24.37,      0.07,      0.09,      0.02,    -24.24,      0.08,      0.09,      0.05,    -24.27,      0.09,      0.08,     -0.01,    -24.32,      0.11,      0.26,      0.60,    -23.87,      0.16,      0.22,      0.32,    -23.36,      0.23,      0.22,     -0.07,      0.05,      0.13,      0.28,      0.37,      0.18,      0.24,      0.91,      0.25,      0.23,      0.44,      0.26,      0.27
edge_35_39,      8.56,      0.11,      0.11,     -0.05,      8.87,      0.11,      0.11,      0.02,      8.68,      0.13,      0.12,     -0.03,      9.33,      0.22,      0.26,      0.19,      8.20,      0.23,      0.29,      0.28,      8.64,      0.22,      0.25,      0.14,      0.77,      0.25,      0.28,     -0.67,      0.25,      0.31,     -0.04,      0.26,      0.28,      0.02,      0.43,      0.43
edge_43_47,     -9.84,      0.08,      0.08,      0.04,     -9.79,      0.08,      0.07,     -0.05,     -9.62,      0.07,      0.07,     -0.05,     -9.12,      0.22,      0.18,     -0.14,     -9.67,      0.13,      0.12,     -0.21,     -8.86,      0.10,      0.10,      0.00,      0.72,      0.23,      0.20,      0.12,      0.15,      0.14,      0.76,      0.12,      0.12,      0.53,      0.22,      0.22
edge_67_37,    -34.50,      0.07,      0.07,      0.04,    -34.40,      0.06,      0.07,      0.07,    -34.51,      0.07,      0.08,      0.03,    -33.78,      0.11,      0.11,      0.04,    -33.60,      0.10,      0.10,     -0.01,    -33.74,      0.09,      0.11,      0.07,      0.72,      0.13,      0.13,      0.80,      0.12,      0.12,      0.77,      0.11,      0.14,      0.76,      0.06,      0.07
edge_42_64,     -6.04,      0.08,      0.08,     -0.00,     -6.06,      0.10,      0.09,     -0.02,     -6.01,      0.07,      0.07,      0.02,     -7.80,      0.17,      0.22,      0.32,     -9.37,      0.10,      0.09,     -0.17,     -7.85,      0.18,      0.26,      0.35,     -1.76,      0.19,      0.23,     -3.31,      0.14,      0.13,     -1.84,      0.19,      0.27,     -2.30,      0.51,      0.52
