,ligandA,ligandB,D_mol_weight,D_rot_bonds,D_rings,D_heavy_atoms,D_atoms,D_charge,charge
pde2_edge_49072088_48271249,49072088,48271249,28.03130012800011,2.0,0.0,2.0,6.0,0.0,no_charge
pde2_edge_49137374_48271249,49137374,48271249,32.96577868000003,0.0,0.0,1.0,1.0,0.0,no_charge
pde2_edge_49175789_49072088,49175789,49072088,46.981428744000084,1.0,0.0,2.0,4.0,0.0,no_charge
pde2_edge_49175828_49580115,49175828,49580115,28.99085055600011,1.0,0.0,1.0,4.0,0.0,no_charge
pde2_edge_49220392_49137530,49220392,49137530,4.934478551999916,2.0,0.0,1.0,5.0,0.0,no_charge
pde2_edge_49220392_49175828,49220392,49175828,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
pde2_edge_49220548_49137374,49220548,49137374,28.03130012800011,2.0,0.0,2.0,6.0,0.0,no_charge
pde2_edge_49220548_49220392,49220548,49220392,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
pde2_edge_49220548_49580115,49220548,49580115,28.99085055600011,1.0,0.0,1.0,4.0,0.0,no_charge
pde2_edge_49220548_49932129,49220548,49932129,32.96577868000003,0.0,0.0,1.0,1.0,0.0,no_charge
pde2_edge_49396360_49137530,49396360,49137530,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
pde2_edge_49396360_49175828,49396360,49175828,32.96577868000003,0.0,0.0,1.0,1.0,0.0,no_charge
pde2_edge_49396360_49220548,49396360,49220548,32.96577868000003,0.0,0.0,1.0,1.0,0.0,no_charge
pde2_edge_49396360_49582390,49396360,49582390,12.0,1.0,1.0,1.0,1.0,0.0,no_charge
pde2_edge_49582468_49137530,49582468,49137530,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
pde2_edge_49582468_49932129,49582468,49932129,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
pde2_edge_49585367_49137530,49585367,49137530,1.9792645559999755,0.0,0.0,0.0,2.0,0.0,no_charge
pde2_edge_49932714_49137530,49932714,49137530,3.9749281239999164,1.0,0.0,0.0,3.0,0.0,no_charge
pde2_edge_49932714_49175789,49932714,49175789,28.99085055600011,1.0,0.0,1.0,4.0,0.0,no_charge
pde2_edge_49932714_49580115,49932714,49580115,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
pde2_edge_49932714_49582390,49932714,49582390,5.990578187999972,1.0,1.0,0.0,1.0,0.0,no_charge
pde2_edge_49932714_49582468,49932714,49582468,17.990578187999972,0.0,0.0,1.0,0.0,0.0,no_charge
pde2_edge_50107616_48271249,50107616,48271249,42.04695019200017,3.0,0.0,3.0,9.0,0.0,no_charge
pde2_edge_50107616_49582390,50107616,49582390,2.015650064000056,2.0,1.0,0.0,2.0,0.0,no_charge
pde2_edge_50107616_49585367,50107616,49585367,1.9792645559999755,0.0,0.0,0.0,2.0,0.0,no_charge
pde2_edge_50181001_49137530,50181001,49137530,33.96102764799997,0.0,0.0,1.0,0.0,0.0,no_charge
pde2_edge_50181001_49582390,50181001,49582390,35.976677712000026,2.0,1.0,1.0,2.0,0.0,no_charge
thrombin_edge_1a_3b,1a,3b,10.04072194000014,2.0,0.0,1.0,6.0,0.0,constant_charge
thrombin_edge_1a_5,1a,5,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
thrombin_edge_1b_1a,1b,1a,15.970449459999998,0.0,0.0,0.0,0.0,0.0,constant_charge
thrombin_edge_1b_1c,1b,1c,43.94948442000003,0.0,0.0,0.0,0.0,0.0,constant_charge
thrombin_edge_1b_3b,1b,3b,5.929727519999858,2.0,0.0,1.0,6.0,0.0,constant_charge
thrombin_edge_1b_7a,1b,7a,5.929727519999858,2.0,0.0,1.0,6.0,0.0,constant_charge
thrombin_edge_1d_1a,1d,1a,107.90606978,0.0,0.0,0.0,0.0,0.0,constant_charge
thrombin_edge_1d_1c,1d,1c,47.986135899999965,0.0,0.0,0.0,0.0,0.0,constant_charge
thrombin_edge_1d_5,1d,5,125.89664796799997,0.0,0.0,1.0,0.0,0.0,constant_charge
thrombin_edge_1d_6e,1d,6e,73.94504213200003,0.0,0.0,1.0,0.0,0.0,constant_charge
thrombin_edge_1d_7a,1d,7a,97.86534783999986,2.0,0.0,1.0,6.0,0.0,constant_charge
thrombin_edge_3a_1b,3a,1b,19.945377583999914,1.0,0.0,0.0,3.0,0.0,constant_charge
thrombin_edge_3a_1d,3a,1d,111.88099790399991,1.0,0.0,0.0,3.0,0.0,constant_charge
thrombin_edge_6a_1b,6a,1b,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
thrombin_edge_6a_6b,6a,6b,19.945377583999914,1.0,0.0,0.0,3.0,0.0,constant_charge
thrombin_edge_6e_6b,6e,6b,3.9749281239999164,1.0,0.0,0.0,3.0,0.0,constant_charge
p38_edge_p38a_2aa_p38a_2bb,p38a_2aa,p38a_2bb,31.972071000000085,1.0,0.0,1.0,1.0,0.0,no_charge
p38_edge_p38a_2aa_p38a_3flw,p38a_2aa,p38a_3flw,28.031300128000055,2.0,0.0,2.0,6.0,0.0,no_charge
p38_edge_p38a_2e_p38a_2j,p38a_2e,p38a_2j,16.011313632000395,0.0,0.0,1.0,2.0,0.0,no_charge
p38_edge_p38a_2ee_p38a_2j,p38a_2ee,p38a_2j,43.005813651999574,2.0,0.0,3.0,4.0,0.0,no_charge
p38_edge_p38a_2ee_p38a_3fln,p38a_2ee,p38a_3fln,41.026549096,2.0,0.0,3.0,6.0,0.0,no_charge
p38_edge_p38a_2g_p38a_2c,p38a_2g,p38a_2c,0.02446515999992016,1.0,0.0,1.0,1.0,0.0,no_charge
p38_edge_p38a_2g_p38a_2f,p38a_2g,p38a_2f,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
p38_edge_p38a_2g_p38a_2h,p38a_2g,p38a_2h,15.977156379999997,0.0,0.0,0.0,0.0,0.0,no_charge
p38_edge_p38a_2g_p38a_2i,p38a_2g,p38a_2i,1.9792645559995776,0.0,0.0,0.0,2.0,0.0,no_charge
p38_edge_p38a_2gg_p38a_2j,p38a_2gg,p38a_2j,49.94625017599947,0.0,0.0,2.0,0.0,0.0,no_charge
p38_edge_p38a_2j_p38a_2f,p38a_2j,p38a_2f,16.011313632000395,0.0,0.0,1.0,2.0,0.0,no_charge
p38_edge_p38a_2j_p38a_2ff,p38a_2j,p38a_2ff,15.99491461999952,1.0,0.0,1.0,1.0,0.0,no_charge
p38_edge_p38a_2j_p38a_2h,p38a_2j,p38a_2h,0.034157252000397875,0.0,0.0,1.0,2.0,0.0,no_charge
p38_edge_p38a_2j_p38a_2q,p38a_2j,p38a_2q,119.98811498799967,0.0,1.0,7.0,11.0,0.0,no_charge
p38_edge_p38a_2j_p38a_2r,p38a_2j,p38a_2r,60.02112936799972,4.0,0.0,4.0,8.0,0.0,no_charge
p38_edge_p38a_2l_p38a_2j,p38a_2l,p38a_2j,15.994914619999747,1.0,0.0,1.0,1.0,0.0,no_charge
p38_edge_p38a_2l_p38a_2n,p38a_2l,p38a_2n,30.010564683999974,2.0,0.0,2.0,4.0,0.0,no_charge
p38_edge_p38a_2l_p38a_2o,p38a_2l,p38a_2o,77.97755030400003,2.0,0.0,4.0,6.0,0.0,no_charge
p38_edge_p38a_2l_p38a_2p,p38a_2l,p38a_2p,91.99320036800003,3.0,0.0,5.0,9.0,0.0,no_charge
p38_edge_p38a_2m_p38a_2j,p38a_2m,p38a_2j,27.994914619999747,0.0,1.0,2.0,2.0,0.0,no_charge
p38_edge_p38a_2m_p38a_2k,p38a_2m,p38a_2k,40.031300128000225,1.0,1.0,3.0,7.0,0.0,no_charge
p38_edge_p38a_2s_p38a_2l,p38a_2s,p38a_2l,46.005479304000005,3.0,0.0,3.0,5.0,0.0,no_charge
p38_edge_p38a_2t_p38a_2j,p38a_2t,p38a_2j,26.974513523999804,0.0,0.0,2.0,1.0,0.0,no_charge
p38_edge_p38a_2u_p38a_2k,p38a_2u,p38a_2k,161.05104959200037,3.0,1.0,10.0,21.0,0.0,no_charge
p38_edge_p38a_2u_p38a_2q,p38a_2u,p38a_2q,29.026549096000224,2.0,0.0,2.0,5.0,0.0,no_charge
p38_edge_p38a_2v_p38a_2bb,p38a_2v,p38a_2bb,91.99320036800009,3.0,0.0,5.0,9.0,0.0,no_charge
p38_edge_p38a_2v_p38a_2j,p38a_2v,p38a_2j,68.06260025600051,0.0,1.0,5.0,13.0,0.0,no_charge
p38_edge_p38a_2v_p38a_2x,p38a_2v,p38a_2x,56.02621474800003,0.0,1.0,4.0,8.0,0.0,no_charge
p38_edge_p38a_2v_p38a_2y,p38a_2v,p38a_2y,58.04186481200003,4.0,0.0,4.0,10.0,0.0,no_charge
p38_edge_p38a_2v_p38a_3fln,p38a_2v,p38a_3fln,70.04186481200009,0.0,1.0,5.0,11.0,0.0,no_charge
p38_edge_p38a_2v_p38a_3fly,p38a_2v,p38a_3fly,28.031300127999998,2.0,0.0,2.0,6.0,0.0,no_charge
p38_edge_p38a_2v_p38a_3fmh,p38a_2v,p38a_3fmh,96.04359612800039,3.0,1.0,7.0,11.0,0.0,no_charge
p38_edge_p38a_2v_p38a_3fmk,p38a_2v,p38a_3fmk,96.04359612800039,3.0,1.0,7.0,11.0,0.0,no_charge
p38_edge_p38a_2z_p38a_2aa,p38a_2z,p38a_2aa,1.9792645559999755,0.0,0.0,0.0,2.0,0.0,no_charge
p38_edge_p38a_2z_p38a_2y,p38a_2z,p38a_2y,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
p38_edge_p38a_2z_p38a_3flq,p38a_2z,p38a_3flq,47.96698562,0.0,0.0,2.0,2.0,0.0,no_charge
p38_edge_p38a_2z_p38a_3flw,p38a_2z,p38a_3flw,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
p38_edge_p38a_2z_p38a_3fmk,p38a_2z,p38a_3fmk,38.00173131600036,1.0,1.0,3.0,1.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2e,p38a_3fln,p38a_2e,17.990578187999972,0.0,0.0,1.0,0.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2ff,p38a_3fln,p38a_2ff,14.015650063999942,1.0,0.0,1.0,3.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2g,p38a_3fln,p38a_2g,17.990578187999972,0.0,0.0,1.0,0.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2gg,p38a_3fln,p38a_2gg,47.96698561999989,0.0,0.0,2.0,2.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2i,p38a_3fln,p38a_2i,19.96984274399955,0.0,0.0,1.0,2.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2k,p38a_3fln,p38a_2k,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2n,p38a_3fln,p38a_2n,44.02621474800014,3.0,0.0,3.0,7.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2o,p38a_3fln,p38a_2o,91.9932003680002,3.0,0.0,5.0,9.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2p,p38a_3fln,p38a_2p,106.0088504320002,4.0,0.0,6.0,12.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2r,p38a_3fln,p38a_2r,58.04186481200014,4.0,0.0,4.0,10.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2s,p38a_3fln,p38a_2s,60.021129368000175,4.0,0.0,4.0,8.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_2t,p38a_3fln,p38a_2t,24.995248968000226,0.0,0.0,2.0,1.0,0.0,no_charge
p38_edge_p38a_3fln_p38a_3flz,p38a_3fln,p38a_3flz,35.981156375999944,0.0,0.0,2.0,0.0,0.0,no_charge
p38_edge_p38a_3fly_p38a_2x,p38a_3fly,p38a_2x,27.99491462000003,2.0,1.0,2.0,2.0,0.0,no_charge
p38_edge_p38a_3fly_p38a_3flq,p38a_3fly,p38a_3flq,77.97755030400003,2.0,0.0,4.0,6.0,0.0,no_charge
p38_edge_p38a_3fly_p38a_3fmh,p38a_3fly,p38a_3fmh,68.01229600000039,1.0,1.0,5.0,5.0,0.0,no_charge
p38_edge_p38a_3flz_p38a_2c,p38a_3flz,p38a_2c,17.966113028000052,1.0,0.0,0.0,1.0,0.0,no_charge
p38_edge_p38a_3flz_p38a_2g,p38a_3flz,p38a_2g,17.990578187999972,0.0,0.0,1.0,0.0,0.0,no_charge
ptp1b_edge_20667_2qbp_23479,20667_2qbp,23479,111.99828574800017,1.0,1.0,7.0,11.0,0.0,constant_charge
ptp1b_edge_20667_2qbp_23482,20667_2qbp,23482,76.03130012800023,1.0,1.0,6.0,10.0,0.0,constant_charge
ptp1b_edge_20667_2qbp_23484,20667_2qbp,23484,77.91051206800012,0.0,0.0,1.0,0.0,0.0,constant_charge
ptp1b_edge_20667_2qbp_23485,20667_2qbp,23485,63.89486200399995,1.0,0.0,0.0,3.0,0.0,constant_charge
ptp1b_edge_20667_2qbp_23486,20667_2qbp,23486,43.94948442000009,0.0,0.0,0.0,0.0,0.0,constant_charge
ptp1b_edge_20669_2qbr_23466,20669_2qbr,23466,90.04695019200017,2.0,1.0,7.0,13.0,0.0,constant_charge
ptp1b_edge_20669_2qbr_23472,20669_2qbr,23472,67.93682836399984,0.0,0.0,3.0,0.0,0.0,constant_charge
ptp1b_edge_20670_2qbs_23330_2qbq,20670_2qbs,23330_2qbq,56.06260025600022,4.0,0.0,4.0,12.0,0.0,constant_charge
ptp1b_edge_20670_2qbs_23466,20670_2qbs,23466,82.07825032000028,1.0,1.0,6.0,16.0,0.0,charge_move
ptp1b_edge_20670_2qbs_23477,20670_2qbs,23477,1.9792645559998618,0.0,0.0,0.0,2.0,0.0,constant_charge
ptp1b_edge_20670_2qbs_23479,20670_2qbs,23479,43.00581365199997,2.0,0.0,3.0,4.0,0.0,constant_charge
ptp1b_edge_20670_2qbs_23482,20670_2qbs,23482,78.97279927199992,2.0,0.0,4.0,5.0,0.0,constant_charge
ptp1b_edge_20670_2qbs_23483,20670_2qbs,23483,140.98844933599997,2.0,1.0,9.0,12.0,0.0,constant_charge
ptp1b_edge_23466_23475,23466,23475,68.06260025600022,1.0,1.0,5.0,13.0,0.0,charge_move
ptp1b_edge_23467_23466,23467,23466,14.999665651999976,1.0,0.0,1.0,2.0,0.0,constant_charge
ptp1b_edge_23467_23468,23467,23468,41.02654909600005,2.0,0.0,3.0,6.0,0.0,constant_charge
ptp1b_edge_23467_23469,23467,23469,89.02654909600005,1.0,1.0,7.0,10.0,0.0,constant_charge
ptp1b_edge_23467_23470,23467,23470,70.05309819200022,4.0,0.0,5.0,11.0,0.0,constant_charge
ptp1b_edge_23467_23473,23467,23473,76.03130012800011,1.0,1.0,6.0,10.0,0.0,charge_move
ptp1b_edge_23467_23474,23467,23474,81.09423473200036,1.0,1.0,6.0,17.0,0.0,constant_charge
ptp1b_edge_23467_23475,23467,23475,53.06293460400025,0.0,1.0,4.0,11.0,0.0,constant_charge
ptp1b_edge_23467_23476,23467,23476,81.09423473200036,0.0,1.0,6.0,17.0,0.0,constant_charge
ptp1b_edge_23469_20669_2qbr,23469,20669_2qbr,13.979264555999862,0.0,0.0,1.0,1.0,0.0,constant_charge
ptp1b_edge_23469_23472,23469,23472,53.957563807999975,0.0,0.0,2.0,1.0,0.0,constant_charge
ptp1b_edge_23471_23466,23471,23466,58.005479304000005,3.0,0.0,4.0,6.0,0.0,constant_charge
ptp1b_edge_23471_23468,23471,23468,1.9792645559999755,0.0,0.0,0.0,2.0,0.0,constant_charge
ptp1b_edge_23471_23470,23471,23470,27.04728454000019,2.0,0.0,2.0,7.0,0.0,constant_charge
ptp1b_edge_23473_20669_2qbr,23473,20669_2qbr,0.9840155879999202,0.0,0.0,0.0,1.0,0.0,charge_move
ptp1b_edge_23474_23466,23474,23466,96.09390038400034,2.0,1.0,7.0,19.0,0.0,constant_charge
ptp1b_edge_23476_23466,23476,23466,96.09390038400034,1.0,1.0,7.0,19.0,0.0,charge_move
ptp1b_edge_23477_23330_2qbq,23477,23330_2qbq,54.08333570000036,4.0,0.0,4.0,14.0,0.0,constant_charge
ptp1b_edge_23477_23466,23477,23466,84.05751487600014,1.0,1.0,6.0,14.0,0.0,charge_move
ptp1b_edge_23477_23467,23477,23467,69.05784922400017,0.0,1.0,5.0,12.0,0.0,constant_charge
ptp1b_edge_23477_23479,23477,23479,41.02654909600011,2.0,0.0,3.0,6.0,0.0,constant_charge
ptp1b_edge_23477_23482,23477,23482,76.99353471600006,2.0,0.0,4.0,7.0,0.0,constant_charge
ptp1b_edge_23477_23483,23477,23483,139.0091847800001,2.0,1.0,9.0,14.0,0.0,constant_charge
ptp1b_edge_23480_23479,23480,23479,30.010564684000087,2.0,0.0,2.0,4.0,0.0,constant_charge
ptp1b_edge_23480_23482,23480,23482,5.956420935999859,2.0,0.0,1.0,3.0,0.0,constant_charge
ptp1b_edge_23482_23479,23482,23479,35.966985619999946,0.0,0.0,1.0,1.0,0.0,constant_charge
ptp1b_edge_23482_23485,23482,23485,12.136438124000279,2.0,1.0,6.0,13.0,0.0,constant_charge
ptp1b_edge_23482_23486,23482,23486,32.081815708000136,1.0,1.0,6.0,10.0,0.0,constant_charge
ptp1b_edge_23483_23479,23483,23479,97.982635684,0.0,1.0,6.0,8.0,0.0,constant_charge
ptp1b_edge_23484_23479,23484,23479,34.087773680000055,1.0,1.0,6.0,11.0,0.0,constant_charge
ptp1b_edge_23484_23482,23484,23482,1.879211939999891,1.0,1.0,5.0,10.0,0.0,constant_charge
ptp1b_edge_23484_23485,23484,23485,14.01565006400017,1.0,0.0,1.0,3.0,0.0,constant_charge
ptp1b_edge_23484_23486,23484,23486,33.96102764800003,0.0,0.0,1.0,0.0,0.0,constant_charge
ptp1b_edge_23485_23479,23485,23479,48.103423744000224,2.0,1.0,7.0,14.0,0.0,constant_charge
ptp1b_edge_23486_23479,23486,23479,68.04880132800008,1.0,1.0,7.0,11.0,0.0,constant_charge
ptp1b_edge_23486_23485,23486,23485,19.945377583999857,1.0,0.0,0.0,3.0,0.0,constant_charge
galectin_edge_02_ligOMe_05_ligOEt,02_ligOMe,05_ligOEt,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
galectin_edge_03_ligNHMe_02_ligOMe,03_ligNHMe,02_ligOMe,0.9840155879999202,0.0,0.0,0.0,1.0,0.0,no_charge
galectin_edge_03_ligNHMe_04_ligNMe2,03_ligNHMe,04_ligNMe2,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
galectin_edge_04_ligNMe2_08_ligNH2,04_ligNMe2,08_ligNH2,28.031300128000055,2.0,0.0,2.0,6.0,0.0,no_charge
galectin_edge_06_ligPyr_01_ligF,06_ligPyr,01_ligF,51.06727103600019,1.0,1.0,4.0,12.0,0.0,no_charge
galectin_edge_07_ligOH_01_ligF,07_ligOH,01_ligF,1.9956635679999977,1.0,0.0,0.0,1.0,0.0,no_charge
galectin_edge_07_ligOH_02_ligOMe,07_ligOH,02_ligOMe,14.015650063999999,1.0,0.0,1.0,3.0,0.0,no_charge
cdk2_edge_17_1h1q,17,1h1q,77.910512068,0.0,0.0,1.0,0.0,0.0,no_charge
cdk2_edge_17_21,17,21,47.89994738399997,2.0,0.0,1.0,4.0,0.0,no_charge
cdk2_edge_17_22,17,22,31.92279100399992,2.0,0.0,1.0,4.0,0.0,no_charge
cdk2_edge_1h1r_1oi9,1h1r,1oi9,17.966113027999995,1.0,0.0,0.0,1.0,0.0,no_charge
cdk2_edge_1h1r_21,1h1r,21,3.9504629639999393,2.0,0.0,1.0,4.0,0.0,no_charge
cdk2_edge_1h1s_1oiy,1h1s,1oiy,35.96698562,0.0,0.0,1.0,1.0,0.0,no_charge
cdk2_edge_1h1s_26,1h1s,26,48.962234588,0.0,0.0,2.0,1.0,0.0,no_charge
cdk2_edge_1oi9_20,1oi9,20,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
cdk2_edge_1oiu_1h1q,1oiu,1h1q,78.97279927200003,2.0,0.0,4.0,5.0,0.0,no_charge
cdk2_edge_1oiu_26,1oiu,26,48.962234588,0.0,0.0,2.0,1.0,0.0,no_charge
cdk2_edge_1oiy_1h1q,1oiy,1h1q,43.00581365200003,2.0,0.0,3.0,4.0,0.0,no_charge
cdk2_edge_1oiy_1oi9,1oiy,1oi9,27.010899032000054,1.0,0.0,2.0,3.0,0.0,no_charge
cdk2_edge_1oiy_29,1oiy,29,63.998285748000114,2.0,0.0,3.0,7.0,0.0,no_charge
cdk2_edge_1oiy_31,1oiy,31,18.97682203200003,0.0,0.0,0.0,1.0,0.0,no_charge
cdk2_edge_1oiy_32,1oiy,32,65.97755030399998,2.0,0.0,3.0,5.0,0.0,no_charge
cdk2_edge_20_1h1q,20,1h1q,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
cdk2_edge_22_1h1r,22,1h1r,12.026693416000114,2.0,0.0,1.0,4.0,0.0,no_charge
cdk2_edge_26_1h1q,26,1h1q,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
cdk2_edge_26_1oi9,26,1oi9,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
cdk2_edge_28_26,28,26,62.97788465200006,1.0,0.0,3.0,4.0,0.0,no_charge
cdk2_edge_28_31,28,31,31.00581365200003,1.0,0.0,2.0,3.0,0.0,no_charge
cdk2_edge_29_26,29,26,76.99353471600011,2.0,0.0,4.0,7.0,0.0,no_charge
cdk2_edge_30_26,30,26,47.96698562,0.0,0.0,2.0,2.0,0.0,no_charge
cdk2_edge_30_31,30,31,15.994914619999975,0.0,0.0,1.0,1.0,0.0,no_charge
cdk2_edge_31_32,31,32,47.00072827199995,2.0,0.0,3.0,4.0,0.0,no_charge
cmet_edge_CHEMBL3402741_400_CHEMBL3402756_2.7,CHEMBL3402741_400,CHEMBL3402756_2.7,37.027359708000176,7.0,1.0,1.0,10.0,0.0,charge_move
cmet_edge_CHEMBL3402741_400_CHEMBL3402763_90,CHEMBL3402741_400,CHEMBL3402763_90,26.060101720000034,4.0,0.0,3.0,8.0,0.0,constant_charge
cmet_edge_CHEMBL3402741_400_CHEMBL3402764_90,CHEMBL3402741_400,CHEMBL3402764_90,90.03392230800017,6.0,0.0,5.0,14.0,0.0,constant_charge
cmet_edge_CHEMBL3402742_23_CHEMBL3402756_2.7,CHEMBL3402742_23,CHEMBL3402756_2.7,15.043913411999995,1.0,1.0,3.0,4.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402742_23_CHEMBL3402763_90,CHEMBL3402742_23,CHEMBL3402763_90,26.011171400000137,2.0,0.0,1.0,6.0,0.0,constant_charge
cmet_edge_CHEMBL3402743_42_CHEMBL3402742_23,CHEMBL3402743_42,CHEMBL3402742_23,19.972071000000028,0.0,0.0,0.0,0.0,0.0,constant_charge
cmet_edge_CHEMBL3402743_42_CHEMBL3402756_2.7,CHEMBL3402743_42,CHEMBL3402756_2.7,35.01598441200002,1.0,1.0,3.0,4.0,0.0,charge_to_dummy
