,val,err,aerr,conv,env,repeat,target,edge
28,-15.52,0.12,0.13,-0.02,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
29,-3.98,0.03,0.05,0.3,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
31,6.71,0.03,0.05,0.19,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
32,-58.04,0.07,0.08,-0.06,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
33,-12.77,0.1,0.11,0.02,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
34,6.5,0.06,0.07,0.04,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
35,26.2,0.04,0.04,-0.08,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
37,-94.14,0.04,0.06,0.19,complex,1,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
38,-6.83,0.11,0.13,0.1,complex,1,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
40,26.38,0.08,0.09,0.08,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
41,36.51,0.2,0.28,0.3,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1
42,-2.51,0.21,0.17,-0.22,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
43,-36.97,0.14,0.16,0.02,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
45,-101.55,0.37,0.31,-0.33,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
46,-6.94,0.34,0.43,0.36,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15
47,-23.45,0.21,0.25,0.05,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
48,-16.89,0.22,0.3,0.32,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
49,-7.94,0.32,0.45,0.27,complex,1,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1
50,21.74,0.13,0.16,0.07,complex,1,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90
51,-24.93,0.16,0.15,-0.09,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23
52,-4.63,0.12,0.11,-0.04,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42
53,-48.22,0.69,0.56,-0.15,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4
54,-51.33,0.19,0.44,0.64,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5
56,-7.06,0.12,0.2,0.32,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90
58,-24.3,0.15,0.14,-0.03,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
59,-5.92,0.25,0.47,0.54,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
61,-2.38,0.18,0.23,0.21,complex,2,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
62,-20.3,0.13,0.14,0.13,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
67,-23.69,0.15,0.25,0.49,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
68,-1.59,0.12,0.13,0.07,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
69,-2.56,0.08,0.08,0.05,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
70,44.06,0.16,0.18,0.17,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
71,56.36,0.4,0.79,0.69,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7
72,63.97,0.63,0.6,0.16,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5
73,25.61,0.17,0.18,0.12,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
74,47.05,0.15,0.16,-0.01,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
75,49.46,0.15,0.15,-0.01,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
76,47.23,0.14,0.18,0.18,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
77,59.89,0.72,0.49,-0.3,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7
78,-41.46,0.15,0.15,0.02,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
79,20.57,0.08,0.17,0.6,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
80,10.66,0.08,0.07,0.06,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
81,4.05,0.05,0.04,-0.13,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
82,38.13,0.08,0.09,0.2,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
84,-3.42,0.11,0.12,0.19,complex,2,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
85,-15.51,0.14,0.13,-0.07,complex,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
86,-3.74,0.04,0.04,-0.03,complex,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
87,-12.68,0.25,0.44,0.41,complex,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11
88,6.54,0.03,0.03,-0.17,complex,2,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
89,-58.79,0.11,0.11,-0.09,complex,2,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
90,-12.09,0.13,0.14,0.12,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
91,6.34,0.07,0.07,0.03,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
92,25.9,0.04,0.05,0.1,complex,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
94,-94.66,0.06,0.07,0.05,complex,2,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
95,-7.1,0.09,0.11,0.13,complex,2,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
97,27.73,0.15,0.19,0.21,complex,2,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
98,35.69,0.13,0.35,0.7,complex,2,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1
99,-3.54,0.27,0.21,-0.16,complex,2,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
100,-36.8,0.1,0.12,0.1,complex,2,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
102,-103.03,0.23,0.29,0.09,complex,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
103,-7.85,0.39,0.46,0.21,complex,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15
104,-23.95,0.15,0.18,0.04,complex,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
105,-16.72,0.23,0.23,0.01,complex,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
106,-7.52,0.27,0.33,0.25,complex,2,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1
107,22.19,0.11,0.14,0.08,complex,2,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90
108,-24.85,0.22,0.18,-0.15,complex,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23
109,-6.2,0.14,0.3,0.6,complex,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42
110,-49.06,0.41,0.65,0.52,complex,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4
111,-52.03,0.28,0.27,0.11,complex,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5
113,-5.82,0.17,0.15,-0.16,complex,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90
115,-26.33,0.17,0.26,0.29,complex,3,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
116,-3.8,0.28,0.23,-0.13,complex,3,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
118,-1.52,0.22,0.24,-0.01,complex,3,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
119,-20.17,0.14,0.15,0.0,complex,3,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
124,-23.29,0.13,0.16,0.11,complex,3,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
125,-2.46,0.12,0.15,0.1,complex,3,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
126,-2.37,0.06,0.08,0.05,complex,3,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
127,43.78,0.16,0.15,-0.05,complex,3,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
128,56.38,0.72,0.51,-0.35,complex,3,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7
129,64.56,0.54,0.6,0.2,complex,3,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5
130,26.3,0.18,0.2,0.05,complex,3,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
131,46.38,0.18,0.2,0.11,complex,3,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
132,48.98,0.12,0.15,0.14,complex,3,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
133,46.73,0.15,0.14,-0.04,complex,3,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
134,59.27,0.8,0.54,-0.15,complex,3,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7
135,-41.85,0.14,0.11,-0.19,complex,3,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
136,20.2,0.09,0.2,0.64,complex,3,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
137,10.76,0.04,0.06,0.23,complex,3,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
138,4.14,0.05,0.07,0.23,complex,3,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
139,38.34,0.09,0.06,-0.21,complex,3,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
141,-3.22,0.18,0.17,0.02,complex,3,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
142,-15.42,0.12,0.12,-0.13,complex,3,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
143,-3.72,0.04,0.05,0.1,complex,3,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
145,6.33,0.04,0.05,0.16,complex,3,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
146,-58.57,0.09,0.1,0.0,complex,3,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
147,-12.93,0.15,0.14,-0.15,complex,3,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
148,6.47,0.07,0.06,-0.06,complex,3,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
149,26.17,0.04,0.03,-0.05,complex,3,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
151,-94.81,0.05,0.06,0.01,complex,3,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
152,-7.23,0.1,0.13,0.28,complex,3,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
154,26.5,0.15,0.18,0.27,complex,3,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
155,36.34,0.18,0.27,0.35,complex,3,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1
156,-2.72,0.12,0.18,0.25,complex,3,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
157,-36.8,0.19,0.14,-0.22,complex,3,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
159,-102.39,0.3,0.38,0.27,complex,3,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
160,-7.12,0.37,0.41,-0.01,complex,3,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15
161,-23.52,0.2,0.21,-0.01,complex,3,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
162,-16.2,0.26,0.28,-0.02,complex,3,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
163,-7.57,0.23,0.4,0.55,complex,3,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1
164,21.96,0.15,0.17,0.01,complex,3,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90
165,-24.48,0.12,0.14,-0.0,complex,3,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23
166,-5.03,0.17,0.16,-0.02,complex,3,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42
167,-50.17,0.33,0.44,0.46,complex,3,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4
168,-51.44,0.25,0.27,0.14,complex,3,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5
170,-7.06,0.19,0.18,-0.12,complex,3,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90
172,-26.2,0.13,0.11,-0.03,water,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
173,-7.85,0.14,0.17,0.11,water,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
175,-1.81,0.13,0.15,-0.01,water,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
176,-19.49,0.14,0.14,-0.05,water,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
181,-22.44,0.1,0.08,-0.13,water,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
182,-4.6,0.07,0.07,-0.03,water,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
183,-1.79,0.04,0.04,0.01,water,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
184,42.09,0.07,0.07,0.04,water,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
185,60.78,0.27,0.27,-0.03,water,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7
186,67.85,0.18,0.2,0.02,water,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5
187,29.05,0.13,0.14,0.22,water,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
188,48.64,0.12,0.13,0.14,water,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
189,49.1,0.14,0.16,0.23,water,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
190,44.17,0.08,0.08,-0.05,water,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
191,62.51,0.16,0.23,0.34,water,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7
192,-40.57,0.08,0.08,-0.03,water,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
193,21.11,0.05,0.05,-0.05,water,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
194,10.97,0.05,0.05,0.02,water,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
195,3.62,0.05,0.05,-0.01,water,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
196,40.7,0.05,0.06,0.0,water,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
197,-8.4,0.06,0.06,0.04,water,1,cmet,edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11
198,-3.8,0.05,0.05,0.04,water,1,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
199,-17.66,0.04,0.05,-0.05,water,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
200,-5.14,0.04,0.05,0.02,water,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
201,-15.03,0.05,0.05,-0.08,water,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11
202,6.95,0.05,0.05,0.02,water,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
203,-54.04,0.08,0.07,-0.1,water,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
204,-16.44,0.1,0.09,-0.1,water,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
205,6.18,0.06,0.08,0.09,water,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
206,25.16,0.04,0.04,0.03,water,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
207,37.39,0.29,0.23,-0.11,water,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402761_1_21
208,-92.75,0.05,0.05,-0.07,water,1,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
209,-6.97,0.13,0.13,-0.03,water,1,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
211,26.89,0.07,0.08,0.02,water,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
212,37.48,0.08,0.09,0.02,water,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1
213,-2.27,0.13,0.14,-0.1,water,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
214,-35.69,0.08,0.08,-0.03,water,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
215,-46.45,0.82,0.75,-0.28,water,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402763_90
216,-105.47,0.19,0.17,-0.01,water,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
217,-12.23,0.18,0.21,0.11,water,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15
218,-23.37,0.15,0.18,0.19,water,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
219,-15.85,0.14,0.15,-0.02,water,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
220,-8.86,0.24,0.27,0.25,water,1,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1
221,17.98,0.13,0.18,0.33,water,1,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90
222,-23.46,0.16,0.15,-0.05,water,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23
223,-3.69,0.11,0.13,0.0,water,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42
224,-51.01,0.17,0.28,0.39,water,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4
225,-52.66,0.18,0.19,0.01,water,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5
227,-8.26,0.15,0.15,-0.01,water,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90
229,-26.25,0.1,0.09,-0.07,water,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
230,-7.89,0.17,0.2,0.14,water,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
232,-2.02,0.14,0.15,0.12,water,2,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
233,-19.62,0.15,0.14,0.05,water,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
238,-23.06,0.1,0.11,0.1,water,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
239,-4.55,0.07,0.07,0.06,water,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
240,-1.84,0.04,0.05,0.0,water,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
241,42.17,0.07,0.07,-0.06,water,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
242,60.89,0.22,0.22,0.02,water,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7
243,67.38,0.21,0.22,0.01,water,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5
244,29.38,0.12,0.12,-0.07,water,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
245,48.92,0.12,0.12,-0.07,water,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
246,48.32,0.11,0.09,-0.09,water,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
247,43.58,0.15,0.15,-0.03,water,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
248,62.46,0.17,0.22,0.14,water,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7
249,-38.29,0.1,0.31,0.76,water,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
250,21.0,0.04,0.05,-0.02,water,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
251,10.98,0.05,0.05,-0.02,water,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
252,3.64,0.04,0.05,-0.04,water,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
253,40.72,0.06,0.06,0.04,water,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
254,-8.46,0.06,0.05,-0.11,water,2,cmet,edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11
255,-4.13,0.05,0.06,0.12,water,2,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
256,-17.77,0.05,0.05,0.0,water,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
257,-4.96,0.04,0.05,0.04,water,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
258,-15.13,0.05,0.05,0.01,water,2,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11
259,6.97,0.03,0.04,-0.01,water,2,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
260,-54.07,0.06,0.07,0.03,water,2,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
261,-16.18,0.11,0.11,-0.04,water,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
262,6.15,0.06,0.07,0.02,water,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
263,25.04,0.05,0.05,-0.05,water,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
264,37.64,0.22,0.18,-0.07,water,2,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402761_1_21
265,-92.88,0.04,0.04,-0.08,water,2,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
266,-7.06,0.13,0.14,-0.02,water,2,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
268,26.64,0.08,0.08,-0.09,water,2,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
269,37.49,0.09,0.1,0.14,water,2,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1
270,-2.08,0.16,0.15,-0.07,water,2,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
271,-35.54,0.09,0.08,0.09,water,2,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
272,-45.62,0.31,0.76,0.78,water,2,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402763_90
273,-105.21,0.18,0.18,-0.14,water,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
274,-12.33,0.17,0.21,0.16,water,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15
275,-23.44,0.16,0.16,0.05,water,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
276,-16.06,0.11,0.13,0.16,water,2,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
277,-9.31,0.18,0.33,0.52,water,2,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1
278,18.22,0.14,0.17,0.24,water,2,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90
279,-23.38,0.15,0.14,0.01,water,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23
280,-3.86,0.11,0.13,0.05,water,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42
281,-50.65,0.25,0.24,-0.17,water,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4
282,-52.72,0.21,0.21,0.01,water,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5
284,-8.27,0.14,0.13,-0.04,water,2,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90
286,-26.04,0.1,0.1,-0.05,water,3,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
287,-8.48,0.14,0.18,0.27,water,3,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
288,32.92,0.55,0.58,0.14,water,3,cmet,edge_CHEMBL3402742_23_CHEMBL3402756_2.7
289,-1.83,0.11,0.14,0.21,water,3,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
