,ligand,target,DG_Exp.,dDG_Exp.,DG_OpenFF-1.0,DG_OpenFF-1.0_converged,DG_OpenFF-1.2,DG_OpenFF-1.2_converged,DG_OpenFF-2.0,DG_OpenFF-2.0_converged,DG_OPLS3e,DG_GAFF2,DG_cGenFF,DG_Consensus_OpenFF_GAFF2_cGenFF,DG_Consensus_OpenFF_GAFF2,DG_Consensus_all,dDG_OpenFF-1.0,dDG_OpenFF-1.0_converged,dDG_OpenFF-1.2,dDG_OpenFF-1.2_converged,dDG_OpenFF-2.0,dDG_OpenFF-2.0_converged,dDG_OPLS3e,dDG_GAFF2,dDG_cGenFF,dDG_Consensus_OpenFF_GAFF2_cGenFF,dDG_Consensus_OpenFF_GAFF2,dDG_Consensus_all
pde2_lig_49220548,49220548,pde2,-11.24,0.23,-11.605714030629962,-11.935369783580008,,,-11.29456615349966,,-12.430875530897778,-11.512165888942476,-13.209838145152096,-11.504915952237994,-11.294839252803106,-12.076207497441617,0.30155314260853205,0.368583257079661,,,0.2867876649544363,,0.10531858723227681,0.230070279910003,0.2130301120668544,0.3077924818166934,0.22483004510299512,0.1311437716152827
pde2_lig_49932129,49932129,pde2,-9.68,0.34,-10.394831151027564,-8.918143341503917,,,-10.669880135584947,,-9.201699003649326,-10.013818157762666,-9.312307430461015,-10.609602806512457,-11.449660784043012,-9.840133456226642,0.3577567088500025,0.6615659964353675,,,0.6746928350134215,,0.2001165050809511,0.4732704343741299,0.3844412871044315,0.673141794592993,0.39724884556766865,0.24385020464943108
pde2_lig_49396360,49396360,pde2,-10.32,0.22,-11.30782948773957,-11.04403698989837,,,-11.438268941775306,,-10.895748368711933,-10.58727608976759,-10.13300289912315,-10.873621555199815,-10.975088926302757,-10.797963818432875,0.20633024772362782,0.2905227476948065,,,0.2472640994394531,,0.11394533594230846,0.24101604136283453,0.14345622791432724,0.2532248568299943,0.23583111558280104,0.10962209534915215
pde2_lig_49582390,49582390,pde2,-10.78,0.41,-11.922909356073037,-11.521152456841246,,,-11.60493094763336,,-11.320870793988227,-10.88840283564867,-10.237382789204167,-10.924181923531986,-11.080652830211521,-10.983964283325545,0.22268194726684135,0.3261722099106809,,,0.2557698906994185,,0.1037481450781289,0.20897741123628555,0.14652779890822873,0.2522805678333399,0.23338183462503487,0.11049997878433955
pde2_lig_49582468,49582468,pde2,-10.34,0.21,-10.5980306493794,-10.13814334150392,,,-11.130749500132621,,-10.535363471948092,-10.591602369379613,-9.83419711869697,-10.56374697769184,-10.985917682047107,-10.49969252740084,0.24777890127312074,0.33349162732744186,,,0.36372995168134514,,0.11193635718236526,0.3518565162087469,0.27792650110434874,0.2960446600186597,0.319934375066488,0.1625602398410008
pde2_lig_49932714,49932714,pde2,-9.87,0.01,-11.132287097415494,-10.641152456841244,,,-11.082223812103871,,-10.383512439020862,-9.546987624080597,-10.03108837639909,-10.24686985192777,-10.25995709049239,-10.278966784218007,0.23535757684398884,0.3618939322894653,,,0.23387866288962778,,0.07801379545635907,0.1767438652815877,0.17482004892849068,0.24927854060117588,0.21373325557015463,0.09994027513078395
pde2_lig_50107616,50107616,pde2,-9.44,0.43,-11.823748199366682,-11.444078042262786,,,-11.421786289572028,,-9.672836041858064,-11.183368893268595,-9.513047013163646,-10.903450670347643,-11.331192583427164,-10.47779053633356,0.3025661886727402,0.3944914686320794,,,0.32993902823058924,,0.11223274487826324,0.40122308666120343,0.21983210730646008,0.33467068145738393,0.4192873335089969,0.1550576404650856
pde2_lig_50181001,50181001,pde2,-9.51,0.07,-10.22457782786021,-9.888143341503916,,,-11.114264548776287,,-11.602766496599992,-9.147514879498317,-10.4735476649772,-10.032953346942689,-9.966821528573021,-10.525107437554198,0.5579116714411491,0.6991193802480425,,,0.29662219560388686,,0.10639299470459282,0.28963493151390585,0.2655027578199852,0.3032556555575937,0.2732621616958182,0.1872448426893747
thrombin_lig_1a,1a,thrombin,-7.480879541108987,0.04780114722753346,-8.15752318435782,-8.10722512134795,,,-8.452864714348157,-8.287024386656153,-7.117046861158535,-8.551232967585436,-7.908742467975946,-8.21007103216281,-8.555419982823466,-8.065416655854438,0.1054267194922676,0.11020824579740476,,,0.14684504097880416,0.15795042281748106,0.069555465816205,0.17403743511120542,0.18506875621993144,0.2064777601319647,0.12017959207904177,0.08735927262484502
thrombin_lig_3b,3b,thrombin,-7.863288718929254,0.11950286806883365,-6.70349729527738,-6.823881681656632,,,-7.766729318216075,-7.6282901278227495,-8.29717423914613,-7.105570184074149,-9.527816825146896,-7.9760646854984705,-7.271251972417467,-8.214597977919967,0.16139534243180947,0.18682122561894227,,,0.22433235646663663,0.2335936091552661,0.11086795642802455,0.148515769316648,0.18772916795661362,0.658421371791051,0.22257034687827126,0.09343957977620865
thrombin_lig_5,5,thrombin,-7.576481835564053,0.0,-8.03862644569735,-8.009159351459385,,,-6.789474648272407,-6.39702438665615,-6.284238629718184,-7.7728265806224135,-7.329990645703632,-7.230051647857014,-7.238516875588473,-7.11103488480094,0.1728253771183363,0.1743058749661237,,,0.27616475079798253,0.32709220835452035,0.05950514089669056,0.3046532932035937,0.23787636102935233,0.3787567758514472,0.22627269089904323,0.128521575883714
thrombin_lig_1b,1b,thrombin,-8.460803059273422,0.19120458891013384,-9.760183122809133,-9.75721501498996,,,-9.46826650969988,-9.330506983334864,-8.39923142413102,-9.202552004679118,-8.527451257154652,-9.183705546645003,-9.331880707863426,-8.887606126921629,0.06831896673400786,0.06857557700528569,,,0.08731389147455625,0.10947539709532698,0.04857903846948081,0.08826052328215225,0.07714443353308886,0.1675106524931417,0.10004989570366983,0.042878335689193525
thrombin_lig_1c,1c,thrombin,-8.556405353728488,0.1673040152963671,-8.637496893613427,-8.633406002847082,,,-9.228860968865938,-9.226679172258152,-9.083344011951315,-9.24819344889215,-8.464712685913154,-9.117365921159802,-9.41837777710915,-9.02532611730297,0.07815911255573536,0.07877058544068087,,,0.13813581675275677,0.1406199054565157,0.05455206611545063,0.09343175547811987,0.12498779444331297,0.2298502948047418,0.17737260540639943,0.05698877012193564
thrombin_lig_7a,7a,thrombin,-8.221797323135755,0.02390057361376673,-8.011295768828786,-8.005127409992717,,,-8.281111619001639,-8.349435019160598,-7.344172543827304,-7.739658649690215,-8.447859332558044,-8.235382767565454,-8.061727672692985,-7.931638886719375,0.13171799919359595,0.12992755272475134,,,0.2741063321659616,0.27304930762528684,0.07720586509711269,0.2822948967781111,0.11331975849022696,0.38567878656165894,0.5193200526404532,0.11143566282678824
thrombin_lig_1d,1d,thrombin,-8.24569789674952,0.07170172084130018,-7.691073167059331,-7.683275713382279,,,-6.829831756032071,-7.012851841348281,-9.736109009080591,-8.62712571345666,-8.880498894449318,-8.106246123649912,-7.8561574268354075,-8.573272220079902,0.06752474796177203,0.06793533684334722,,,0.09597281016480172,0.11631563340606897,0.0441561662593194,0.10107881825949239,0.11510141300808087,0.2606908472400418,0.2661998643836761,0.058152871711661204
thrombin_lig_6e,6e,thrombin,-8.914913957934989,0.07170172084130018,-9.083028603863523,-9.077444465456901,,,-9.02696603092218,-9.1780640004289,-8.551478012214758,-8.741651409126245,-6.002010531935152,-7.99196593848769,-8.965275701785718,-8.06660248509828,0.10705704638149004,0.10726264793213884,,,0.1130149248209054,0.12497712580570348,0.07176879317411809,0.16693792253073994,0.1407290045148369,0.8892755787826393,0.2096119136737946,0.08009727097761107
thrombin_lig_3a,3a,thrombin,-8.317399617590821,0.14340344168260036,-9.373023339786663,-9.368414411312234,,,-8.735875558139758,-9.089518508014947,-7.798851374657449,-8.907773332381467,-9.058261392543507,-8.812571508418882,-8.665313210945634,-8.557119953243555,0.10206745648947127,0.10232927696031992,,,0.1147616376290719,0.18347508637223978,0.12470390449915088,0.17452485101799514,0.13453886046639948,0.2555321389661682,0.1636853172672256,0.08056217277417105
thrombin_lig_6a,6a,thrombin,-9.177820267686423,0.04780114722753346,-8.650629691829305,-8.644303068893215,,,-9.180297549002299,-9.15763882868093,-10.086256612939982,-8.32385700062455,-8.798289030295692,-8.7376731713402,-8.605851020419685,-9.031074909825492,0.1246791983424771,0.12575126037914036,,,0.14391146884756284,0.14564827137448844,0.07314532362219917,0.1744876448806426,0.11147212377160781,0.2825658313445666,0.1741625199770956,0.07187757786572636
thrombin_lig_6b,6b,thrombin,-8.891013384321225,0.11950286806883365,-7.60012344290023,-7.597048714684599,,,-7.946222283522549,-8.049467701661229,-9.00859823719768,-7.4860596648905435,-8.76086789234696,-8.105402613237715,-7.736728607541542,-8.242810738256402,0.11630026011992108,0.11640303922356363,,,0.13361522599544046,0.13794350296274122,0.08485306992743118,0.17069592240893575,0.12904615271101685,0.34747101764800736,0.18681738987208962,0.07608460251926372
p38_lig_p38a_2aa,p38a_2aa,p38,-9.34,0.25,-9.14084994936086,-9.824938301884712,,,-9.797391086793251,-8.355113292032257,-9.095344507463663,-10.340132904614679,-10.361875716103357,-9.484027521462359,-8.920205748241692,-9.751494788114693,0.37680597111963526,0.41477227357584534,,,0.432731858201998,0.7089117310539723,0.13912041824864008,0.4418296253597179,0.34571536321595775,0.5300571592597758,0.4987366074577449,0.21517110043282106
p38_lig_p38a_2bb,p38a_2bb,p38,-9.13,0.2,-8.102948366440172,-8.598854650331676,,,-9.21860714646369,-9.345113292032229,-8.353289511919924,-9.231691630682981,-10.188576519010761,-9.47403290856458,-9.24751747641226,-9.203458244438515,0.37992716702507723,0.3900395558413986,,,0.37192543170869435,0.39267214119391786,0.09466662681723424,0.47781840104607304,0.2887464040833898,0.42907964728571574,0.4796131037330709,0.17269708581808432
p38_lig_p38a_3flw,p38a_3flw,p38,-10.78,0.09,-10.926005062095001,-11.768271635218055,,,-10.933862862271408,,-11.589047798247694,-11.563497602288693,-11.026233103451618,-10.544946469252249,-10.313387103167573,-11.021672753405156,0.44795733910866575,0.538750933785168,,,0.7264250305859462,,0.1902825920364143,0.48247891404572507,0.41679379565244584,0.7212637025912588,0.7625902461128287,0.28285076299917533
p38_lig_p38a_2e,p38a_2e,p38,-10.78,0.26,-9.192655698254175,-9.364776699389642,,,-8.984775772634535,-9.007380136966706,-9.111528074222667,-9.953467809392537,-8.659859699632412,-9.45472193329304,-9.699517191586466,-9.16519864061015,0.14475784613720594,0.13637810697806463,,,0.13937302346884917,0.13672026281689362,0.03918974980541909,0.18037930825983758,0.27478154915998654,0.20308684502412463,0.2375178723429925,0.09250897107736257
p38_lig_p38a_2j,p38a_2j,p38,-10.16,0.16,-9.475965499057878,-9.648898150619136,,,-10.21328599630225,-10.238493335477632,-9.664115732533693,-10.861681794642255,-9.283366860587861,-10.204465993468686,-10.550061836035892,-10.012459944802199,0.13136555030111088,0.12249342873609784,,,0.128315711544888,0.12712855755854274,0.034689833842984234,0.17508550873466672,0.12392920899386764,0.21296375080225227,0.21087137816963908,0.06839996086434823
p38_lig_p38a_2ee,p38a_2ee,p38,-12.35,0.36,-10.516174804547452,-10.69002981813397,,,-10.378924630020302,-10.402462043148702,-10.6711939707696,-10.869954476949928,-10.64759608054194,-10.635497960691577,-10.572355154038323,-10.601840535842976,0.17188229547096956,0.1648120213081809,,,0.1597255412453862,0.15796538606093702,0.04807974693755221,0.21714491755386234,0.2102896227939115,0.32032069209475295,0.2696450819901536,0.09984010884845836
p38_lig_p38a_3fln,p38a_3fln,p38,-10.98,0.24,-10.648355363152854,-10.81734014785612,,,-10.403810939731324,-10.427057819768589,-10.89684363017075,-11.102450348913793,-10.289428500199364,-10.670000808445248,-10.924032637750123,-10.648746432166028,0.12800367990345096,0.11796244587416925,,,0.12100489257211064,0.11920108397725197,0.02880169315420068,0.16789513398977715,0.09157239278837667,0.18748783310354925,0.2071154696605202,0.061491658828589965
p38_lig_p38a_2g,p38a_2g,p38,-10.74,0.24,-11.010953693012516,-11.178614887159904,,,-11.110541022560993,-11.025654968811564,-10.7311605781396,-11.279813581211158,-9.767711684546263,-10.872414232595247,-11.244247109737662,-10.724859431548529,0.15222968867732176,0.14309507873314425,,,0.17680370159563918,0.17741042111850772,0.04056379379172115,0.18046602465528125,0.11715965213527105,0.2494008811510384,0.2335323395663032,0.07734116048989756
p38_lig_p38a_2c,p38a_2c,p38,-10.54,0.28,-9.640259275327344,-9.175281553826567,,,-12.439997428982238,-14.983317211617766,-10.043896294428468,-11.694294400796773,-12.114543036453313,-12.082206746634988,-11.802814960618761,-11.836787988208293,0.4265548376723444,0.4522719268713822,,,0.3203836672623287,0.5475070208017954,0.06792482062336765,0.3499043315766923,0.20515811672290665,0.6259783502791085,0.5617917357076849,0.14778473214068266
p38_lig_p38a_2f,p38a_2f,p38,-8.55,0.21,-9.55101385386007,-9.710163142135828,,,-8.997030653445844,-8.9155884264278,-8.31556748786148,-10.425224094397171,-7.9482351699082425,-9.033384498159407,-9.643831508043894,-8.93923109453967,0.25094749677623696,0.24415642070996374,,,0.1902126322635166,0.1903044080853752,0.04896505189072826,0.20622642894743862,0.2907165146951167,0.3750600359654125,0.4617246505988571,0.11328033880994741
